LUTON PUMPING STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL099207,Long,-0.405019,Lat,51.874053,Elevation,344,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,1.44,2.77,1.99,1.69,3.09,2.08,0.58,1.12,2.81,1.94,0.97,1.8,2.09,2.41,0.94,2.53,0.81,2.55,3.24,0.88,0.57,2.47,2.76,1.04,3.99,1.07,1.54,0.73,1.59,0.8,3,2.41,0.72,3.12,1.31,1.8,2.44,3.82,2.21,1.99,2.11,1.51,2.67,1.47,2.89,2.71,3.79,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,1.16,3.89,1.11,3.29,0.46,0.75,1.26,1.72,0.85,0.02,1.49,3.58,2.07,1.27,0.48,2.68,1.2,1.76,3.37,1.72,1.08,1.02,3.2,1.16,2.31,1.25,1.15,0.37,2.79,1.18,1.86,0.75,1.94,3.04,3.85,0.98,0.95,3.76,0.39,0.21,2.41,3.44,0.64,3.7,2.58,3.44,1.56,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,1.64,1.02,1.36,1.28,1.57,1.58,2.76,1.63,2.75,1.59,1.15,0.58,1.5,1.54,3.47,3.97,1.9,0.51,0.78,2.81,1.14,2.93,1.4,2.83,2.14,0.93,3.06,3.42,1.13,1.72,2.96,1.57,3.82,1.24,5.06,1.85,0.88,3.21,1.5,0.92,1.98,2.34,1.05,1.37,0.08,2.02,1.75,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,3.5,1.62,1.72,2.82,1.92,1.26,1.67,2.46,1.22,1.3,0.75,0.51,1.79,1.42,0.55,1.73,1.37,2.44,1.38,2.52,0.81,1.28,0.97,1.85,0.49,2.5,3.06,1.86,1.66,1.14,0.08,2.41,0.75,0.87,0.9,1.87,3.94,2.93,3.99,1,3.26,1.54,2.8,1.44,3.33,1.58,0.92,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,1.93,1.72,0.51,2.66,3.57,1.62,1.4,4.61,1.45,2.87,1.2,1.29,1.66,0.5,0.34,2.14,3.26,1.99,1.04,1.45,2.15,2.9,1.98,1.78,1.22,3.14,1.61,2.21,2.4,2.15,1.62,1.59,1.27,1.6,1.36,1.93,2.27,0.49,1.78,1.16,1.07,1.46,4.93,1.91,2.19,0.65,1.27,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,3.09,1.87,1.82,2.4,1.03,1.07,2.31,1.23,1.67,1.18,2.52,0.73,1.91,0.41,1.99,3.57,1.72,1.3,2.51,0.91,3.06,5.92,0.81,4.03,4.42,2.55,1.01,4.59,1.85,1.96,2.94,1.37,1.87,0.99,1.9,2.53,0.74,1.14,2.09,0.27,1.2,0.59,2.09,0.15,2.99,3.12,1.78,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,2.47,3.11,1.88,0.19,1.61,0.84,3.68,6.46,3.38,2.21,2.95,3.36,2.54,5.12,1.5,0.34,1.19,1.54,1.16,2.54,1.87,3.43,4.01,2,0.28,1.78,3.15,3.31,1.85,0.24,2.48,1.21,1.8,3.83,1.8,4.94,2.96,2.29,3.59,0.22,4.08,3.71,4.37,4.23,2.49,2.61,2.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,1.59,0.48,1.49,1.49,1.04,0.92,2.4,2.15,3.06,3.86,2.42,1.84,3.08,4.48,2.3,4.23,1.3,1.65,2.69,1.61,3.82,3.59,2.36,3.09,1,1.8,2.63,2.36,2.01,0.62,4.81,1.05,1.1,2.24,1.79,6.4,1.09,2.69,0.99,0.95,2.21,3.07,2.86,2.52,0.74,4.49,2.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,2.42,4.43,2.1,3.68,1.44,2.91,1.01,1.89,0.54,0.94,2.75,0.83,2.18,0.81,6.29,2.24,0.42,2.6,0.53,1.23,1.02,2.06,1.44,2.59,1.24,0.49,1.37,2.35,0.85,1.14,2.23,1.63,0.99,1.93,1.34,1.86,5.72,1.33,2.07,1.68,2.44,2.32,2.83,2.77,1.8,4.5,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,5.24,2.73,1.58,4.79,4.32,1.41,0.9,3.72,1.45,7.74,3.69,3.21,3.11,0.55,3.73,0.73,2.59,3.13,2.31,1.92,1.65,6.39,1.07,1.42,4.7,4.18,2.23,5.09,2.23,2.4,1.88,3.89,2.29,1.9,3.6,4.7,1.67,1.06,1.39,0.8,0.86,4.44,4.24,3.53,2.27,2.39,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,3.23,2.46,1.13,3.57,3.15,3.39,4.28,1.21,2.71,1.67,1.86,2.88,4.96,4.37,1.34,1.09,2.41,3.01,1.89,1.09,1.54,1.99,1.48,2.58,4.35,2.1,0.76,0.89,3.06,2.36,2.17,2.21,2.11,2.22,3.23,0.86,2.22,1.73,1.42,2.3,1.34,1.85,2.98,1.63,4.31,2.73,2.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,2.91,1.34,2.89,1.34,4.04,1.41,1.6,1.34,0.71,4.46,1.61,2.48,1.85,1.98,3.3,2.92,2.85,1.26,2.97,3.52,1.19,1.83,2.03,0.9,2.55,3.55,1.53,2.62,4.48,4.78,2.32,0.7,5.81,4.74,2.77,0.65,2.35,5.08,2.03,1.8,2.62,2.13,3.5,1.58,0.39,2.97,2.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,30.62,27.44,19.58,29.2,27.24,19.24,23.85,29.54,22.6,29.78,23.36,23.09,28.74,24.86,26.23,28.17,21.02,23.74,23.87,22.2,19.9,35.81,23.51,25.27,28.69,25.34,23.1,29.8,25.9,20.49,28.35,20.79,24.47,27.72,28.91,30.37,27.23,29.53,23.45,13.3,25.58,28.4,34.96,26.3,26.06,33.21,25.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
