LUTON PUMPING STATION,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL110212,Long,-0.3876,Lat,51.8788,Elevation,338,ft,,,,,,,,,,,,,,,,
Station no,1159,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,,,,,,
January,,3.24,1.45,1.89,1.69,1.85,0.87,3.6,4.61,3.02,5.54,2.27,2.61,2.1,4.57,1.61,2.14,1.85,,,,,,
February,,0.83,2,0.32,2.29,0.77,2.82,2.7,3.82,0.55,0.79,2.29,2.13,0.92,1.21,0.92,1.62,2.32,,,,,,
March,,1.56,0.09,1.68,2.53,2.32,0.63,1.3,3.5,0.32,1.99,2.86,2.99,1.27,0.58,0.2,0.67,1.59,,,,,,
April,,2.46,3.86,2.44,1.13,1.6,5.91,1.33,3.14,0.09,2.9,1.67,1.23,1.17,0.84,2.28,1.14,0.81,,,,,,
May,,2.49,2.57,4.79,1.69,0.69,2.44,0.82,3.52,1.79,1.92,2.34,2.02,3.22,2.09,0.84,2.01,2.19,,,,,,
June,,0.56,1.33,1,1.94,1.44,2.6,4.31,1.88,0.47,2.32,0.75,1.18,0.28,2.09,1.37,1.95,2.34,,,,,,
July,1.22,2.17,4.72,2.83,1.11,1.22,2.25,5.01,1.22,1.85,1.95,2.93,4.34,2.89,1.1,1.27,2.1,1.64,,,,,,
August,0.45,2.5,4.13,4.18,0.67,1.91,1.69,0.32,1.07,5,4.65,0.05,5.26,2.52,1.54,1.26,1.86,3.84,,,,,,
September,0.17,4.12,2.3,2.13,2.34,1.75,4.05,3.35,2.18,1.69,1.48,1.13,0.7,1.08,1.41,2.34,2.01,3.35,,,,,,
October,3.94,1.08,0.61,4.33,1.53,2.15,2.66,1.78,2.65,2.99,4.16,2.94,1.25,3.69,1.99,3.53,2.23,1.79,,,,,,
November,5.67,4.23,2.83,1.7,1.3,1.89,4.58,3.25,1.61,3.02,4.22,7.47,2.56,1.45,1.83,2.83,1.2,5.6,,,,,,
December,5.04,2.62,0.89,0.57,0.5,4.88,2.97,2.24,3.18,3.52,1.47,1.55,1.29,2.99,1.17,1.41,2.91,1.97,,,,,,
Total,,27.86,26.78,27.86,18.72,22.47,33.47,30.01,32.38,24.31,33.39,28.25,27.56,23.58,20.42,19.86,21.84,29.29,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Note: Stn no remained the same, but given Hyd Stn No. 13-240230",,,,,,,,,,,,,,,,,,,,,,,,
