"LUTON PUMPING STATION",,,,,,,,,,,,
Grid ref,TL099207,Long,-0.405019,Lat,51.874053,,,,,,,
Station no,1159,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.24,0.88,0.57,2.47,2.76,1.04,3.99,1.07,1.54,0.73,,
February,3.37,1.72,1.08,1.02,3.20,1.16,2.31,1.25,1.15,0.37,,
March,0.78,2.81,1.14,2.93,1.40,2.83,2.14,0.93,3.06,3.42,,
April,1.38,2.52,0.81,1.28,0.97,1.85,0.49,2.50,3.06,1.86,,
May,1.04,1.45,2.15,2.90,1.98,1.78,1.22,3.14,1.61,2.21,,
June,2.51,0.91,3.06,5.92,0.81,4.03,4.42,2.55,1.01,4.59,,
July,1.16,2.54,1.87,3.43,4.01,2.00,0.28,1.78,3.15,3.31,,
August,2.69,1.61,3.82,3.59,2.36,3.09,1.00,1.80,2.63,2.36,,
September,0.53,1.23,1.02,2.06,1.44,2.59,1.24,0.49,1.37,2.35,,
October,2.31,1.92,1.65,6.39,1.07,1.42,4.70,4.18,2.23,5.09,,
November,1.89,1.09,1.54,1.99,1.48,2.58,4.35,2.10,0.76,0.89,,
December,2.97,3.52,1.19,1.83,2.03,0.90,2.55,3.55,1.53,2.62,,
Total,23.87,22.20,19.90,35.81,23.51,25.27,28.69,25.34,23.10,29.80,,
Calc annual,23.87,22.20,19.90,35.81,23.51,25.27,28.69,25.34,23.10,29.80,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00,,
