STOKE-STANLEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ929520,Long,-2.1074039,Lat,53.065194,Elevation,550,ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,4.19,1.27,1.27,2.56,2.9,1.67,2.59,1.58,1.35,4.59,2.51,2.05,3.22,1.12,4.5,2.56,1.15,0.6,0.27,1.57,1.17,2.36,1.44,3.3,2.2,1.08,1.28,2.9,2.53,2.12,1.17,2.26,2.41,1.18,0.59,1.36,3.03,4.29,1.72,1.96,2.31,1.68,0.79,4.12,0.35,,
February,,,,0.58,2.49,1.79,2.11,1.57,1.83,2.25,1.49,3.49,3.08,0.9,2.3,0.8,2.45,4.17,1.25,3.19,2.08,4.52,1.61,1.43,1.43,1.83,0.15,0.81,0.53,1.6,0.2,0,1.67,2.7,2.29,0.38,1.94,1.97,1.52,0.94,2.79,1.13,0.95,1.17,2.22,0.94,2.01,1.51,,
March,,,,1.33,2.15,1.98,2.27,1.92,2.89,1.84,1.53,1.14,3.52,2.85,1.82,0.55,3.46,2.86,1.22,1.32,1.5,2.03,2.19,1.15,2.26,1.45,1.77,1.5,2.62,2.09,2.15,1.64,0.94,0.72,1.3,2.75,4.01,1.91,1.03,1.08,0.37,2.4,1.97,3.43,1.04,2.11,1.82,1.4,,
April,,,,1.26,2.22,0.84,1,3.94,1.86,2.13,1.72,2.1,4.36,0.75,1.65,0.6,2.77,2.1,1.17,1.86,1.5,0.65,2.64,1.61,1.16,1.63,1.61,0.51,1.67,3.01,1.17,2.08,1.07,0.45,1.05,1.99,1.16,1.79,1.7,2.81,1.94,2.34,2.3,1.15,1.7,1.97,1.54,0.75,,
May,,,,1.46,2.91,2.82,0.88,0.77,1.15,3.21,1.78,3.03,2.49,2.15,1.59,2.25,0.53,2.92,5.93,2.45,2.8,1.81,1.76,0.69,1.02,2.37,4.53,1.14,0.87,3.75,1.58,3.77,2.76,2.06,2.27,0.81,0.41,1.29,3.38,1.7,1.18,1.02,3.28,2.51,1.58,0.48,3.15,5.03,,
June,,,,3.56,1.91,1.04,3.93,1.94,0.31,1.27,0.88,3.44,5.02,1.87,0.9,3.66,1.94,3.07,2.6,4.86,3.14,2.56,6.1,3.47,1.67,2.97,1.47,0.68,2.95,1,2.24,3.71,3.76,2.05,2.16,1.04,1.69,2.67,2.51,1.59,4.39,1.37,1.57,0.77,1.09,1.36,2.02,4.22,,
July,,,,1.99,1.32,1.53,2.59,4.05,0,0.79,1.61,4.55,5.83,3.35,2.79,5.92,2.45,4.19,1.24,3.93,4.51,1.23,4.92,3.44,2.65,0.95,2.53,1.32,5.44,3.38,2.93,2.61,2.58,2.83,1.72,3.67,1.33,0.92,0.94,2.3,2.77,2.55,1.58,3.04,1.72,2.63,0.42,1.86,,
August,,,,3.45,1.53,5.04,4.57,2.07,3.72,2.42,1.94,2.65,4.07,3.36,4.06,2.93,2.47,4.71,5.91,6.62,1.77,4.21,3.29,1.38,1.45,1.85,1.8,1.76,3.49,5.31,3.91,4.25,3,1.39,3.36,2.51,2.27,2.46,3.38,1.63,3.8,2.46,3.16,4.78,3.54,2.9,2.3,3.63,,
September,,,,4.64,3.9,0.22,5.59,3.39,2.06,6.22,1.89,4.93,4,2.27,3.31,3,3.92,2.84,3.56,2.74,3.19,1.53,1.92,5.35,3.3,4.35,2.04,3.23,0.8,3.55,0.9,2.53,2.8,2.91,0.27,0.58,4.18,3.32,0.38,2.9,0.95,0.54,1.61,4.29,0.91,1.33,1.62,0.56,,
October,,,,5.18,2.82,3.76,2.51,3.77,3.08,2.31,5.28,4.46,5.97,3.57,3.46,4.85,2.98,2.64,3.37,1.7,3.12,1.89,3.71,3.96,1.48,4.37,4.69,2.74,0.8,2.22,2.81,4.71,4.66,1.19,3.15,1.97,2.42,1.38,1.77,2.58,3.29,2.6,2.54,6.83,1.22,2.41,4.25,2.28,,
November,,,,2.94,2.55,2.17,3.63,1.26,2.03,3.67,2.06,2.13,3.41,2.39,3.77,3.75,3.53,3.17,2.75,1.23,2.73,1.78,5.34,2.33,1.33,2.85,2.51,2.02,5.3,1.75,5.34,2.7,2.02,1.26,1.46,2.4,1.27,2.12,1.33,1,1.88,2.92,1.47,2.97,0.88,2.32,2.4,1.36,,
December,,,,1.89,2.12,0.72,2.46,3.31,7.27,3.4,2.29,1.97,3.92,0.83,1.88,0.65,4.24,2.66,1.9,0.72,3.81,3.1,4.5,1.59,2.4,1.3,4.44,1.98,2.27,2.21,0.25,4.15,1.91,2.86,2.19,1.95,2.87,2.51,2.44,2.14,4.85,2.72,1.54,1.01,0.92,0.35,2.98,1.71,,
