MUCH MARCLE VICARAGE,,,,,,,,,,
Grid ref,SO657330,Long,-2.5009664,Lat,51.99438,Elevation,213,ft,,
Station no,RR8883,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,3.13,2.04,,,,,,,,
February,0.57,0.06,,,,,,,,
March,1,1.61,0.67,,,,,,,
April,0.83,1.64,0.73,,,,,,,
May,1.7,3.22,1.45,,,,,,,
June,1.76,2.46,,,,,,,,
July,2.47,1.82,,,,,,,,
August,2.43,4.33,,,,,,,,
September,1.4,1.21,,,,,,,,
October,1.2,6.83,,,,,,,,
November,2.28,2.74,,,,,,,,
December,1.56,3.43,,,,,,,,
Total,20.33,31.39,,,,,,,,
,,,,,,,,,,
1891 moved 100yds north to school in April; NGR for school,,,,,,,,,,
