MANCHESTER MARKET ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ841984,Long,-2.2410618,Lat,53.482077,Elevation,138,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no ,RR425 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January ,1.31,0.32,1.1,0.26,4.94,3.56,2.16,1.91,0.34,2.36,4.08,2.67,2.55,4.94,2.57,2.35,3.57,2.07,2.06,4.67,3.64,3.23,5.69,3.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February ,3.53,1.5,0.43,2.6,1.34,1.9,4,2.02,0.95,2.04,1.22,1.19,0.8,1.02,3.55,1.59,1.62,2.9,6.56,1.95,2.7,1.74,4.81,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March ,1.77,4,1.77,1.96,2.81,3.65,2.48,1.7,1.98,2.95,0.38,2.54,5.14,1.28,3.76,2.6,2.61,1.17,3.16,0.58,0.81,3.68,0.63,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April ,2.57,1.11,3.07,2.38,1.8,0.58,1.98,0.79,3.08,0.83,1.21,1.36,0.16,3.48,1.19,2.15,3.2,3.05,1.44,1.25,3.1,0.45,0.56,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May ,3.85,1,2.2,0.1,0.88,0.91,0.81,2.04,2.72,0.08,3.64,2.95,2.62,3.4,0.09,1.28,1.29,5.26,1.28,3.15,1.23,2.14,1.35,1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June ,6.62,1.97,3.87,6.55,3.42,2.44,3.6,1.9,3.68,3.09,5.18,2.98,2.6,1.99,1.56,3.47,2.51,3.13,5.96,1.64,1.52,5.44,6.02,5.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July ,3.21,3.5,2.47,2.27,6.71,1.94,3.4,3.48,3.46,4.63,5.78,5.54,3.4,5.17,3.51,3.79,7.72,1.15,3.55,4.88,3.58,3.79,4.17,4.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August ,4.02,3.95,4.42,4.88,2.57,2.41,3.29,1.65,3.84,2.7,4.45,3.48,1.89,2.95,2.35,7.17,5.03,4.54,6.2,2.62,4.56,1.26,5.42,2.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September ,5.82,2.83,0.66,2.99,1.9,4.68,2.63,2.58,1.03,6,4.07,4.67,2.69,0.41,4.14,3.55,0.78,5.89,3.43,4.75,2.65,3.47,2.45,2.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October ,2.51,3.99,3.47,3.67,1.59,2.93,4.95,5.37,4.23,1.94,2,5.05,2.36,7.8,2.18,4.15,4.99,5.66,5.58,3.59,2.84,3.88,3.79,3.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
