NEWTON-HARCOURT,,,,,,,,,,,,,,,,,,,,
Grid ref,SP639969,Long,-1.0587079,Lat,52.566185,Elevation,350,ft,,,,,,,,,,,,
Station no,RR6634,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,2.12,0.56,3.21,0.74,0.58,0.9,1.74,0.79,3.01,,,,,,,
February,,,,,2.46,0.64,2.36,1.82,1.04,0.52,2.5,1.32,1.19,,,,,,,
March,,,,,1.63,1.98,1.36,0.51,2.45,2.52,0.44,1.53,3.53,,,,,,,
April,,,,1.59,0.74,1.39,0.39,1.95,2.35,1.01,1.73,0.99,0,,,,,,,
May,,,,2.6,1.93,0.24,1.73,2.8,1.35,1.11,2.6,1.86,1.89,,,,,,,
June,,,,1.21,0.14,2.74,2.85,1.58,1.13,2.59,0.99,1.82,3.5,,,,,,,
July,,,,1.5,2.6,0.69,0.53,3.05,2.75,3.16,2.37,0.11,5.21,,,,,,,
August,,,,3.44,3.45,3.13,0.81,2.34,2.42,2.64,3.44,1.94,5.94,,,,,,,
September,,,,2.25,0.68,2.53,1.04,1.1,1.18,2.11,1,1.32,1.09,,,,,,,
October,,,,5.08,0.61,1.37,3.73,4.47,1.1,2.49,1.91,2.01,2.06,,,,,,,
November,,,,1.49,0.58,2.39,3.04,2.06,0.59,0.61,3.7,1.99,1.51,,,,,,,
December,,,,1.03,1.49,0.8,2.33,3.07,1.52,3.17,4.78,3.84,3.46,,,,,,,
Total,,,,,18.43,18.46,23.38,25.49,18.46,22.83,27.2,19.52,32.39,,,,,,,
