FELIXKIRK - THIRLBY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE486840,Long,-1.256,Lat,54.249,Elevation,315,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,2.92,1.47,4.03,0.45,4.18,2.38,3.75,3.60,2.47,3.51,1.75,2.16,1.92,2.65,2.48,4.35,2.95,4.30,2.40,1.65,1.97,2.05,3.00,3.60,3.00,2.63,4.75,1.25,2.36,2.65,3.30,1.95,4.09,1.92,2.56,6.23,0.97,1.48,1.99,1.84,0.95,2.20,1.65,4.38,1.50,2.76,2.65,4.97
February,1.00,1.85,3.75,3.14,0.87,2.10,1.06,0.90,0.22,2.14,4.40,2.09,3.80,1.57,1.36,1.38,1.16,1.56,1.72,0.76,4.50,1.41,3.20,3.00,4.30,2.62,1.78,1.25,4.36,1.35,0.75,2.07,2.07,1.04,1.87,0.90,0.71,3.46,3.14,0.74,1.85,2.42,2.39,2.20,2.54,3.87,0.60,2.38
March,2.47,2.20,1.37,3.00,2.80,1.26,3.23,2.40,1.09,1.75,1.60,1.33,1.58,0.87,2.50,2.39,0.25,2.95,1.40,2.13,1.76,2.70,0.89,2.00,2.80,0.26,2.56,2.05,2.26,1.35,0.40,0.75,0.42,1.19,4.32,0.97,1.68,1.05,3.10,1.92,0.02,1.79,2.00,0.60,1.51,2.75,1.21,1.10
April,3.33,0.76,1.17,1.18,2.35,1.40,1.91,3.06,1.32,2.37,1.55,2.21,2.92,0.80,1.60,1.16,1.25,4.19,4.03,1.22,1.47,2.50,3.03,1.60,2.35,0.25,0.96,1.53,1.95,0.98,1.43,1.87,1.48,2.07,2.88,1.51,2.55,2.10,1.30,1.42,2.72,0.23,1.49,1.32,0.56,1.03,2.32,0.78
May,1.68,1.52,1.29,2.36,0.99,3.00,0.81,2.36,1.92,0.71,2.68,4.97,3.60,2.50,1.75,1.38,1.86,1.35,3.00,4.75,2.23,0.86,1.45,1.35,2.75,3.51,1.53,1.30,1.63,2.53,2.63,1.05,,2.14,2.24,1.02,1.36,1.02,4.72,1.73,2.09,2.85,2.60,0.57,1.50,3.41,0.41,0.97
June,2.00,2.18,0.25,2.42,1.48,1.21,1.40,3.05,0.32,2.05,0.75,2.41,0.08,3.70,3.25,3.78,1.68,2.30,4.75,1.05,1.53,1.20,3.20,3.61,1.40,2.00,2.21,0.57,1.08,0.65,1.28,2.96,3.11,2.69,2.21,5.56,0.85,2.32,1.31,1.80,3.38,3.00,2.58,4.13,2.15,2.78,1.90,0.53
July,0.73,4.78,4.30,2.40,1.38,3.50,2.82,3.83,1.30,4.75,3.25,3.57,1.99,2.18,4.44,0.59,2.03,5.88,3.58,7.34,2.12,2.65,1.00,4.25,1.36,2.84,4.06,6.17,2.03,3.65,0.80,3.24,1.75,3.57,1.42,1.31,1.90,4.35,2.93,1.67,3.23,2.95,1.26,4.92,4.35,3.03,1.33,5.81
August,0.91,0.85,3.25,1.95,7.90,2.25,2.32,2.76,3.88,2.75,3.60,3.69,2.56,3.35,5.82,5.12,3.03,2.90,3.30,1.65,0.44,2.58,2.95,3.25,1.57,2.38,2.00,1.23,3.70,3.45,3.55,3.40,4.26,3.87,0.12,3.14,2.31,5.64,,2.23,3.74,5.55,0.83,8.12,5.30,4.44,0.21,2.93
September,1.27,1.36,0.74,2.27,0.67,5.29,1.42,1.29,1.72,2.28,2.70,2.65,3.20,1.77,5.55,0.37,0.70,4.50,4.10,2.35,1.40,2.00,4.50,2.50,1.14,2.65,2.10,1.63,0.65,1.75,3.10,5.08,1.42,3.40,1.53,1.61,0.48,3.35,2.29,4.03,1.69,2.02,1.60,2.40,3.58,3.03,0.26,3.07
October,2.22,2.08,0.94,3.20,3.35,1.76,5.66,2.75,1.40,1.30,2.80,4.66,2.83,3.00,2.35,3.38,2.90,2.40,1.35,3.40,4.30,2.68,3.60,1.50,2.20,3.75,3.72,3.21,3.50,2.77,1.81,2.97,2.58,0.62,0.57,1.17,2.30,1.28,1.57,3.64,1.93,4.19,1.64,1.57,2.09,1.88,1.62,7.32
November,2.13,3.00,2.20,3.12,2.30,1.69,2.73,1.25,2.10,1.45,3.35,1.80,2.83,5.20,3.07,2.40,3.55,3.50,4.63,1.75,4.07,2.00,5.50,3.00,2.70,3.30,2.20,3.55,3.00,0.75,3.58,4.13,0.46,4.46,1.95,0.64,3.60,4.64,6.09,1.93,2.61,5.17,2.54,1.37,1.68,0.91,4.47,3.94
December,2.16,5.53,5.12,2.10,2.03,3.72,3.40,3.86,2.25,4.10,3.08,3.76,2.83,1.06,2.05,1.85,4.80,2.60,1.45,1.08,0.97,5.09,2.60,1.83,5.00,4.40,1.63,2.40,0.56,2.30,1.25,2.00,1.75,2.89,1.88,2.50,2.32,3.47,2.63,1.71,1.31,2.50,2.67,2.31,2.24,3.21,3.76,3.24
Total,22.82,27.58,28.41,27.59,30.30,29.56,30.51,31.11,19.99,29.16,31.51,35.30,30.14,28.65,36.22,28.15,26.16,38.43,35.71,29.13,26.76,27.72,34.92,31.49,30.57,30.59,29.50,26.14,27.08,24.18,23.88,31.47,,29.86,23.55,26.56,21.03,34.16,,24.66,25.52,34.87,23.25,33.89,29.00,33.10,20.74,37.04
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_20_pt1/288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
