HAYDON BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY844639,Long,-2.24521,Lat,54.969473,Elevation,240,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3559/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,4.55,2.93,4.35,1.84,2.47,3.49,2.91,1.73,4.42,1.64,2.31,6.92,1.64,2.79,2.48,3.35,0.56,3.13,3.07,2.77,2.47,1.72,2.36,4.34
February,,,,,,,5.12,1.15,1.59,1.36,3.76,1.51,2.45,1.67,1.98,1.09,4.08,1.98,2.44,5.02,2.1,0.57,1.08,1.75,1.96,1.67,1.9,3.74,0.55,1.8
March,,,,,,,2.9,0.57,3.35,3.12,3.13,1,1.28,0.82,0.63,1.23,4.95,1.35,0.58,0.91,3.85,0.83,0.32,0.94,1.26,1.21,1.81,2.05,0.86,1.9
April,,,,,,,1.8,0.53,1.22,0.95,1.77,1.39,1.74,1.18,2.08,1.04,4.8,2.24,1.96,2.62,1.92,1.54,2.78,0.59,0.52,1.18,0.87,1.77,2.12,1.06
May,,,,,,,2.92,2.62,0.93,1.18,2.16,1.22,3.5,2.29,3.79,2.21,1.88,1.09,0.96,2.09,2.27,1.71,2.31,4.35,2,0.91,1.2,3.3,0.31,1.69
June,,,,,,,0.51,3.18,1.99,0.62,0.92,1.34,4.72,1.75,2.04,2.25,3.38,2.31,0.64,1.81,0.31,1.86,1.33,2.32,2.3,3.06,0.92,2.84,2.66,0.79
July,,,,,,,2.73,2.56,4.66,6.35,1.04,2.96,2.08,2.96,1.32,4.39,4.94,1.27,2.6,2.83,1.35,1.44,2.82,2.14,1.33,3.53,3.82,4.46,1.28,3.53
August,,,,,,,4.7,1.87,3.47,1.2,3.88,3.24,3.99,1.06,2.06,3.63,0.17,3.87,2.06,4.21,3.58,2.09,3.94,5.03,1.11,8.63,3.64,2.66,0.35,3.15
September,,,,,,,2.25,1.66,1.19,2.65,0.42,3,3.13,6.46,1.46,3.95,0.98,2.95,1.47,3.95,1.2,3.06,3.25,4.64,1.37,2.87,2.9,2.44,0.84,1.72
October,,,,,,,2.07,4.38,4.22,2.33,4.68,3.75,4.07,2.29,3.3,0.67,0.92,1.94,3.75,1.64,0.95,2.35,1.27,6.37,1.8,1.73,2.43,1.77,2.32,6.08
November,,,,,,,0.95,3,3,3.04,2.29,0.54,3.89,6.73,0.51,3.58,3.18,2.32,3.29,3.95,6.09,2.92,2.36,3.23,1.02,0.88,1.52,0.92,4.5,2.96
December,,,,,,,2.84,2.48,2.23,2.51,0.69,2.54,1.08,2.49,0.46,1.92,2.08,2.68,5.47,1.78,4.03,3.13,1.45,3.76,3.94,2.82,2.47,3.46,4.03,2.71
Total,,,,,,,33.34,26.93,32.2,27.15,27.21,25.98,34.84,31.43,24.05,27.6,33.67,30.92,26.86,33.6,30.13,24.85,23.47,38.25,21.68,31.26,25.95,31.13,22.18,31.73
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936 scribbled out on record therefore deleted here.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
