STIRCH FARM PRIORS MARSTON,,,,,,,,,,,,,,,,,,,,
Grid ref,SP503558,Long,-1.2654845,Lat,52.198147,Elevation,443,ft,,,,,,,,,,,,
Station no,RR3146,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,1.96,2.79,1.92,2.96,3.78,1.63,1.25,4.4,2.36,2.45,3.49,2.15,,,
February,,,,,,2.54,2.71,1.33,1.17,2.43,2.15,1.04,2.05,1.4,2.22,1.43,2.65,,,
March,,,,,,1.03,1.1,3.49,2.82,1.47,1.24,1.32,1.63,2.45,0.81,0.96,3.82,,,
April,,,,,,0.8,2.17,3.38,2.19,1.52,1.01,2.54,2.11,0.57,1.37,2.56,3.2,,,
May,,,,,1.1,1.62,2.03,3.52,0.83,4.43,1.2,1.22,1.75,2.18,1.75,2.69,0.45,,,
June,,,,,1.52,2.76,3.24,2.11,0.32,1.95,0.57,4.66,3.7,6.03,0.35,2.57,1.96,,,
July,,,,,0.64,5.53,2.75,3.28,0.7,0.49,1.45,5.26,4.67,2.3,1,6.7,1,,,
August,,,,,0.74,3.88,3.88,3.41,3.63,1.01,2.45,0.68,3.4,2.34,2.27,0.88,2.4,,,
September,,,,,3.46,0.3,6.66,1.71,2.66,3.55,1.74,4.75,1.42,1.73,3.74,,6.7,,,
October,,,,,1.97,4.73,1.91,2.78,2.8,2.03,4.25,1.51,3.9,1.47,3.89,,1.6,,,
November,,,,,2.76,2.83,1.92,0.36,2.13,2.15,1.79,0.96,4.94,1.95,2.74,5,4,,,
December,,,,,1.29,1.4,1.85,2.51,5.44,3.86,2.04,1.32,4.4,0.37,1.96,1,5.9,,,
Total,,,,,,29.38,33.01,29.8,27.65,28.67,21.52,26.51,38.37,25.15,24.55,,35.83,,,
,,,,,,,,,,,,,,,,,,,,
1871 gauge allowed to run over September 30th - underestimate but left in,,,,,,,,,,,,,,,,,,,,
1875 gauge allowed to run over October 10th;  observations for 29th and 30th September either omitted altogether or included in October so both removed along with total,,,,,,,,,,,,,,,,,,,,
"1875 September allocated 2.62"", October 7.76""",,,,,,,,,,,,,,,,,,,,
