MYDDLE-MARTON-HALL,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ442237,Long,-2.8292222,Lat,52.807948,Elevation,280,ft.,,,,,,,,,,,,,
Station no,2308,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,3.86,1.57,1.96,2.43,3.04,2.31,4.5,1.19,4.64,1.43,2.93,1.41,2.64,1.06,3.56,,,,
February,,,3.36,3.39,0.65,4.81,1.76,1.67,2.22,0.54,0.81,2.27,0.23,2.21,0.21,3.22,2.13,,,,
March,,,2.37,1.58,1.5,1.24,0.55,2.12,1.86,0.39,3.17,0.37,2.49,2.23,1.6,0.92,2.11,,,,
April,,,2.53,2.2,2.67,1.45,1.73,2.18,1.34,0.84,2.94,4.05,4.01,0.92,2.47,2.46,2.09,,,,
May,,,0.9,3.36,6.62,2.71,3.28,1.35,0.94,1.82,2.52,4.72,4.67,1.5,1.43,1.01,0.93,,,,
June,,,0.95,0.62,3.07,0,1.4,4.01,4.34,2.06,1.18,4.74,0.49,1.42,1.26,2.9,3.53,,,,
July,,,3.58,2.82,4.79,3.02,2.23,2.25,1.53,1.72,3.94,3.05,4.88,1.93,0.86,0.74,3.54,,,,
August,,,2.41,3.05,3.59,3.55,2.86,4.57,3.7,2.43,2.48,5.41,1.54,0.98,2.32,1.31,0.84,,,,
September,,,2.5,1.88,3.34,2.96,1.83,3.58,1.49,1.72,3.63,3.19,2,0.89,1.4,4.79,4.53,,,,
October,,,0.49,4.16,4.23,3.13,2.25,2.64,3.56,2.89,4.03,0.89,4.32,4.51,3.05,4.48,1.74,,,,
November,,,0.84,2.16,1.6,1.67,5.03,3.74,4.06,5.39,3.06,4.69,1.98,1.15,1.56,4.84,2.81,,,,
December,,,4,3.29,3.56,2.95,0.71,2.02,2.18,5.1,4.07,1.45,1.26,0.61,4.53,3.04,2.63,,,,
Total,,,27.79,30.08,37.58,29.92,26.67,32.44,31.72,26.09,36.47,36.26,30.8,19.76,23.33,30.77,30.44,,,,
,,,,,,,,,,,,,,,,,,,,,
NGR is Marton Hall. Altitudes match,,,,,,,,,,,,,,,,,,,,,
