DURHAM OBSERVATORY,,,,,,,,,,,,
Grid ref,NZ267415,Long,-1.586535,Lat,54.767723,,,,,,,
Station no,3539,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,1.86,1.07,0.52,2.29,1.77,0.35,2.27,0.54,1.08,0.60,,
February,3.69,1.13,1.04,1.05,1.65,0.71,1.06,1.04,1.09,1.39,,
March,1.40,1.39,0.55,1.20,1.23,1.21,1.34,0.85,2.93,4.25,,
April,0.95,0.97,1.46,1.38,1.01,2.85,0.87,2.01,2.79,2.24,,
May,1.19,1.66,2.28,2.69,2.95,0.32,3.73,3.73,1.79,1.32,,
June,3.14,1.22,1.98,2.39,1.30,0.69,0.84,3.03,0.46,1.91,,
July,1.12,2.56,2.76,4.83,1.71,0.76,1.38,1.56,2.51,2.19,,
August,5.08,2.16,1.78,1.64,2.48,2.73,2.55,1.49,2.03,2.93,,
September,0.68,1.39,0.90,2.34,0.99,2.22,0.46,0.25,1.65,1.98,,
October,5.42,2.38,2.10,7.95,0.72,2.24,4.46,5.59,1.32,2.09,,
November,2.40,5.11,1.11,2.05,1.79,4.59,2.85,1.89,1.09,0.76,,
December,1.82,1.89,2.05,1.00,1.39,0.52,1.98,2.85,0.66,3.12,,
Total,28.75,22.93,18.53,30.81,18.99,19.19,23.79,24.83,19.40,24.78,,
Calc annual,28.75,22.93,18.53,30.81,18.99,19.19,23.79,24.83,19.40,24.78,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,-0.00,0.00,-0.00,,
