"DURHAM OBSERVATORY = 8"" gauge at 1 foot above ground level",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ267415,Long,-1.586535,Lat,54.767723,Elevation,336,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,2.54,1.84,1.62,1.87,4.45,,2.5,2.42,0.33,0.58,3.31,1.21,1.79,2.89,1.02,1.02,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.56,3.05,3.18,0.98,1.6,1.67,2.09,1.05,2.4,1.57,3.53,1.98,1.48,1.67,1.19,2.25,3.41,2.74,1.98,4.8,1.61,3.35,1.94,3.16,0.89,3.66,1.31,1.89,7.41,0.57,1.64,1.15,1.67,0.53,2.23,2.13,3.25,1.71,1.37,2,4.23
February,0.62,0.64,0.63,4.26,1.26,,1.09,1.02,0.66,0.6,1.46,2.56,1.18,0.42,1.51,1.38,1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.03,0.15,1.89,3.51,1.01,2.29,1.58,0.66,1.11,0.97,1.67,1.2,1.04,3.36,0.43,3.2,3.45,3.04,1.12,0.73,2,6,1.66,0.75,2.17,1.45,0.32,3.17,1.15,0.5,3.02,2.44,0.42,2.03,1.89,2.39,2.13,2.25,3.71,0.59,2.24
March,0.44,2.12,0.38,1.54,0.41,3.79,0.32,2.26,0.46,1.27,1.66,1.83,3.98,1.86,2.46,1.04,3.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.71,0.72,1.56,1.57,0.97,1.64,0.78,1.43,2.22,0.17,2.46,1.48,2.23,1.07,2.54,0.6,2.34,3.11,0.3,2.85,1.84,2.51,1.07,0.64,0.38,0.46,1.41,3.85,0.8,1.11,0.82,3.37,1.2,0.05,1.32,1.67,0.5,1.02,2.17,0.57,1.74
April,1.6,1.78,0.7,0.75,0.54,0.26,2.28,2.46,0.54,2.41,0.62,1.55,1.06,0.63,1.22,1.06,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.46,1.24,1.95,1.97,1.76,3.16,0.91,1.29,0.73,0.98,2.16,3.09,1.28,1.04,3.7,3.2,1.46,2.22,0.09,1.12,1.56,1.06,0.81,0.96,2.14,1.29,1.81,3.45,1.38,1.52,1.31,1.13,1.71,2.01,0.4,0.55,0.74,0.27,1.24,1.5,1.07
May,1.3,1.39,1.89,0.88,2.26,1.81,4.4,2,1.39,0.26,2.33,0.72,2.17,1.42,1.47,3.7,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.31,1.8,0.53,2.52,6.06,2.32,1.68,1.56,1.6,0.89,1.52,2.78,4.1,2.33,1.3,0.8,1.67,2.78,3.43,1.33,1.56,1.19,1.54,2.3,1.73,3.08,2.18,1.95,1.15,0.61,1.49,3.92,1.06,1.66,4.73,1.64,0.54,1.55,3.61,0.52,1.96
June,1.91,2.38,3.38,0.95,2.53,3.13,2.49,2.16,1.47,2.08,3.97,2.94,2.17,4.41,1.5,0.76,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,0.77,1.48,0.96,1.97,0.07,3.04,3.03,4.62,1.59,1.15,3.62,1.17,1.43,2.1,2.8,3.47,1.7,2.7,2.48,1.31,0.85,1.12,1.18,2.14,2.11,1.72,1.88,3.3,1.3,0.77,0.91,1.17,2.39,1.59,2.51,3.2,1.29,2.84,2.41,0.21
July,4.07,2.64,3.37,2.62,,2.98,1.75,1.1,3.55,3.08,3.17,3.17,1.5,1,0.75,1.74,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.26,1.47,4.54,1.54,3.89,2.07,3.17,3.8,1.53,2.3,7.24,4,4.35,1.76,2.19,0.27,3.03,3.14,2.31,3.11,5.25,1.43,3,1.55,3.4,1.61,2.98,2.21,1.69,2,3.96,1.7,0.63,2.3,1.73,0.97,1.86,3.02,2.02,1.22,3.32
August,1.21,3.53,4.07,2.01,,3.27,4.12,4.86,2.27,1.16,2.73,1.37,3.2,1.94,1.24,4.33,2.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.27,4.12,2.34,2.99,2.32,2.63,2.34,6.23,2.54,2.82,4.46,2.21,2.58,0.95,2.43,1.99,2.06,1.5,1.59,4.29,0.83,2.29,2.02,3.88,1.44,3.37,3.62,0.3,3.81,1.75,4.82,4.16,2.19,5.09,4.91,0.61,6.92,3.03,2.47,0.25,2.33
September,1.04,3.62,5.22,2.26,,8.29,5.01,3.95,2.48,2.32,1.61,2.5,1.24,2.01,1.23,0.01,4.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05,0.66,3.77,1.37,2.87,2.35,2.22,3.64,0.68,1.28,3.06,3.32,2.18,2.13,1.69,5.32,2.7,1.57,2.4,1.38,1.3,0.5,2.65,3.43,5.18,1.9,3.96,1.68,3.89,0.79,4.21,1.06,4.23,1.21,1.94,0.73,1.91,3.37,1.74,0.7,2.22
October,2.81,0.28,3.04,3.02,,4.12,1.44,1.55,2.19,2.28,1.92,1.27,1.57,3.44,5.54,6.29,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.21,1.3,1.49,1.87,2.76,2.51,2.77,1.43,2.46,1.93,1.97,1.06,3.99,3.11,3.13,3.62,1.36,1.66,3.15,5.61,3.07,3.57,1.71,1.67,3.25,3.67,1.62,0.55,1.56,2.44,0.9,1.75,2.89,1.63,4.19,1.4,1.32,1.5,1.34,0.98,6.79
