"DURHAM OBSERVATORY - 8"" gauge, 4'3"" above ground",,,,,,,,,,,,,,,,,,,,
Grid ref,NZ267415,Long,-1.586535,Lat,54.767723,Elevation,336,ft,,,,,,,,,,,,
Station no,3539,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,,0.85,0.53,,0.72,1.89,3.17,,,,,
February,,,,,,,,,,2.35,1.74,,0.91,1.66,1.27,,,,,
March,,,,,,,,,,0.8,1.27,,1.48,1.87,2.53,,,,,
April,,,,,,,,,,1.88,2.03,,3.6,1.59,2.04,,,,,
May,,,,,,,,,,2.23,1.5,,2.27,1.81,0.67,,,,,
June,,,,,,,,,,3.57,2.62,,3.32,2.46,1.02,,,,,
July,,,,,,,,,,3.98,4.18,,3.57,3.73,3.89,,,,,
August,,,,,,,,,,3.51,1.93,,2.88,1.12,0.73,,,,,
September,,,,,,,,,,1.24,5.05,,2.1,4.12,1.38,,,,,
October,,,,,,,,,,0.68,4.02,,4.79,2.36,1.51,,,,,
November,,,,,,,,,,1.93,2.24,,3.3,0.92,1.78,,,,,
December,,,,,,,,,,0.6,2.76,,4.49,1.53,1.27,,,,,
Total,,,,,,,,,,23.62,29.87,,33.43,25.06,21.26,,,,,
,,,,,,,,,,,,,,,,,,,,
MISFILED_TYRain_1890-1899_23_pt1-page-103.csv,,,,,,,,,,,,,,,,,,,,
data really for 1880s,,,,,,,,,,,,,,,,,,,,
