CAXTON-ST-PETERS-ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL300580,Long,-0.0981,Lat,52.20494,Elevation,155,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,1206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,2.11,1.15,2.27,1.1,2.65,1.61,3.21,1.47,1.76,1.59,0.79,1.2,0.73,1.35,2.74,2.68,2.46,3.31,1.41,2.06,1.95,3.23,0.87,1.64,0.79,1.44,2.87,0.85,
February,,,1.5,2.7,0.77,2.13,2.31,2.78,1.12,0.71,0.5,2.36,0.21,1.25,0.41,1.65,2.12,2.68,0.33,0.43,1.73,1.86,0.92,0.52,0.65,1,1.28,1.27,0.51,0.77,
March,,,1.35,2.14,0.71,0.95,0.29,1.68,1.08,0.11,1.4,0.12,1.43,2.09,1.27,0.42,0.74,2.6,0.24,1.27,2.07,3.33,1.31,0.46,0.22,0.28,0.97,3.98,0.41,,
April,,,2.68,1.18,2.97,1.27,3.06,1.52,0.85,1.33,1.85,2.57,2.47,1.15,1.73,2.93,1.54,2.61,0.18,2.21,1.29,0.53,0.65,0.71,1.38,0.63,0.91,1.31,1.42,,
May,,,2.07,1,3.68,2.86,2.19,0.64,2.53,1.41,2.5,2.44,3.65,1.77,0.6,0.82,0.99,3.02,2.22,0.79,2.88,2.13,2.15,1.34,0.98,1.52,2.06,0.39,3.13,,
June,,,1.18,0.61,1.76,0.22,2,2.62,2.47,1.3,0.42,0.96,0.65,1.19,0.89,1.65,3.87,2.21,0.56,1.67,0.39,0.92,0.44,2.25,1.2,1.6,2.85,2.13,3.23,,
July,,,3.82,2.74,3.57,1.86,2.79,2.22,1.98,1.49,3.81,3.24,1.83,1.12,1.75,0.56,5.44,1.62,1.08,2.01,2.62,2.22,2.41,0.53,1.33,1.78,1.41,1.47,1.32,,
August,,,1.74,3.02,2.8,2.69,1.33,2.57,1.69,0.5,2.55,3.07,2.57,0.9,1.89,1.37,0.37,1.18,2.64,3.94,0.19,2.87,1.55,1.5,1.48,1.96,2.75,0,3.39,,
September,,,2.22,2.64,1.83,2.75,2.35,3.89,0.71,0.2,3.14,2.03,1.46,2.1,1.27,2.87,2.44,2.53,1.8,0.83,0.37,0.55,0.83,0.84,2.61,2.26,2.36,0.94,1.67,,
October,,,0.46,3.55,3.56,3.3,2.02,1.59,2.7,3.12,0.66,0.39,3.27,1.37,1.51,1.49,1.49,1.77,2.23,3.57,1.6,1.52,2.35,1.53,2.53,2.05,1.15,0.16,1.85,,
November,,,1.01,1.15,2.7,1.57,3.25,2.4,1.86,4.09,3.14,2.12,1.33,1.26,1.53,3.74,2.37,1.64,1.61,2.64,5.92,1.79,1.68,0.96,2.34,0.19,3.31,1.3,1.04,,
December,,,1.78,2.24,2.5,1.69,0.35,2.49,2.01,3.14,2.05,0.72,0.37,0.45,3.42,1.48,1.65,2.59,2.71,0.96,1.34,0.77,1.27,0.79,0.64,1.64,1.59,1.7,0.86,,
Total,,,21.92,24.12,29.12,22.39,24.59,26.01,22.21,18.87,23.78,21.61,20.03,15.85,17,20.33,25.76,27.13,18.06,23.63,21.81,20.55,17.51,14.66,16.23,16.55,21.43,16.09,21.7,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1929 Total corrected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949 Mar Gauge moved 1/4 mile N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
