"LOCH DROMA",,,,,,,,,,,,
Grid ref,NH264749,Long,-4.917164,Lat,57.730191,,,,,,,
Station no,5780,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,100.00,5.22,,
February,,,,,,,,,100.00,3.83,,
March,,,,,,,,,100.00,1.02,,
April,,,,,,,,,100.00,7.58,,
May,,,,,,,,,2.63,2.03,,
June,,,,,,,,,5.85,6.74,,
July,,,,,,,,,8.63,3.34,,
August,,,,,,,,,3.70,5.64,,
September,,,,,,,,,1.97,3.41,,
October,,,,,,,,,10.73,2.35,,
November,,,,,,,,,7.45,3.45,,
December,,,,,,,,,8.38,8.73,,
Total,,,,,,,,,100.00,53.34,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,449.34,53.34,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-349.34,0.00,,
