"LOCH DROMA",,,,,,,,,,,,
Grid ref,NH253755,Long,-4.936046,Lat,57.735146,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.79,1.70,9.37,7.33,5.50,7.99,1.58,6.56,8.10,9.06,,
February,7.62,1.89,2.37,8.11,8.73,3.07,1.11,5.82,10.50,3.27,,
March,4.90,8.98,4.35,7.12,6.64,4.52,9.98,6.35,8.22,5.28,,
April,5.62,4.59,8.66,4.87,9.47,8.82,5.39,3.32,4.10,3.16,,
May,3.20,1.49,2.89,6.91,6.46,3.14,4.99,2.54,2.03,3.05,,
June,4.00,7.95,9.51,2.32,2.17,5.60,5.01,5.43,5.17,2.70,,
July,5.90,3.54,11.12,8.10,5.18,9.67,1.23,3.21,3.10,3.92,,
August,7.45,9.52,7.00,8.60,6.20,5.77,2.65,7.25,7.20,5.10,,
September,9.40,5.39,6.11,14.79,4.24,8.40,8.39,3.28,6.57,3.20,,
October,3.76,4.20,18.30,16.46,6.71,14.98,5.27,2.46,2.10,10.70,,
November,5.70,4.72,2.94,11.50,7.42,5.36,8.07,4.38,8.20,10.02,,
December,12.14,1.23,14.40,7.27,11.66,6.66,14.93,7.42,8.58,7.21,,
Total,74.48,55.20,97.02,103.38,80.38,83.98,68.60,58.02,73.87,66.67,,
Calc annual,74.48,55.20,97.02,103.38,80.38,83.98,68.60,58.02,73.87,66.67,,
Difference,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
