BRAEMORE LOCH DROMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NH253758,Long,-4.9344,Lat,57.7358,elevation,850,feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,3.67,,1.58,7.28,7.67,15.34,6.69,4.05,6.33,6.33,1.23,4.85,1.14,2.97,4.29,7.75,4.51,6.52,5.97,4.5,4.94,13.75,6.28,0.25,0.39,6.56,0.13,8.17,1.65,11.45,4.85,4.79,1.7,9.37,7.33,5.5,7.99,1.58,6.56,8.1,9.06,9.3,4.07,3.19,3.72,6.43,4.7,15.6,1.2,3.4,4.1,11.3,17.3,7.1,14.7,7.33,11.7,8,10.3,11.12,1.16,10.12,9,9,,,,,,,,,,,,,,,5.67,9.09,13.38,7.05,6,,6.37,5.38,4.5,6.13,9.17,7.78,5.03,
February,,,,,,,,,,9.42,,4.43,2.11,1.89,1.42,2.28,6.28,8.62,4.29,5.33,5.16,0,3.8,6.84,9.6,8.92,6.67,9.72,10.7,11.75,1.77,5.94,3.53,5.44,6.82,0.25,0.27,6.8,12.89,5.29,7.62,1.89,2.37,8.11,8.73,3.07,1.11,5.82,10.5,3.27,5.28,7.29,5.52,3.26,7.2,6.9,7.9,1.5,8.46,3.15,14.5,2.65,9.2,3.9,8.6,9.33,4.9,2.4,9.15,1.35,1.67,8.62,2,,,,,,,,,,,,,,,0.74,6.65,8.71,6.03,4.3,,7.51,3.03,3.41,5.84,4.33,8.14,3.62,
March,,,,,,,,,,4.06,,4.39,1.98,2.23,4.41,3.37,9.25,6.25,7.34,7.06,2.75,2.36,6.51,7.37,3.73,5.59,2.78,1.94,8.44,5.26,11.58,2.74,2.18,5.54,2.53,0.39,10.43,14.16,5.93,5.32,4.9,8.98,4.35,7.12,6.64,4.52,9.98,6.35,8.22,5.28,4.5,4.1,5.5,8.7,5.24,6.73,8.6,6.2,7.15,7.5,8.4,7.1,4.9,1.45,7.4,9.65,9.2,4.6,3.22,1.47,3.6,2.2,4,,,,,,,,,,,,,,,1.86,5.58,3.87,5.02,3.16,,3,3.05,1.93,2.44,4.72,3.51,2.9,
April,,,,,,,,,,2.82,,0.87,4.76,3.51,6.17,2.83,3.76,0.83,1.45,1.12,2.35,5.5,4.7,1.58,1.08,3.35,3.72,4.75,8.42,3.42,4.24,0.41,1.49,1.57,1.34,6.82,8.74,3.6,9.49,6.49,5.62,4.59,8.66,4.87,9.47,8.82,5.39,3.32,4.1,3.16,8.26,6.2,6.1,4.92,5.32,8.2,3.4,5.3,0.1,10.3,5.35,2.8,5.1,4.35,5.15,5.45,4.2,9.25,2.75,4.6,3,6,6.5,,,,,,,,,,,,,,,11.69,6.83,7.21,8.75,7.81,,3.21,2.8,3.83,4.14,2.66,3.67,5.29,
May,,,,,,,,,,1.77,,1.5,1.75,4.05,1.96,5.17,2.28,1.76,5.13,2.88,1.74,2.55,2.74,3.87,6.49,6.68,4.29,4.05,8.21,2.38,2.27,2.46,2.87,7.71,2.42,2.59,8.87,2.45,6.77,4.38,3.2,1.49,2.89,6.91,6.46,3.14,4.99,2.54,2.03,3.05,4.52,1.03,2.6,3.51,5.54,1.29,3.25,0.7,0.22,0.9,5.7,5.1,9.42,8.5,3.45,5.16,4.3,4,4,2.4,5.6,4,3.3,,,,,,,,,,,,,,,2.04,3.44,3.34,1.92,2.87,,3.57,4.94,3.39,5.5,2.26,6.57,,
June,,,,,,,,,,2.99,,2.36,4.59,3.09,5.45,3.04,4.36,7.49,1.79,3.74,2.61,4.79,3.88,2.07,2.11,5.19,4.05,0.8,5.76,1.53,5.98,1.84,6.48,2.74,2.51,7.8,5,3.87,10.82,1.82,4,7.95,9.51,2.32,2.17,5.6,5.01,5.43,5.17,2.7,3.47,5.1,3.5,6.62,1.92,0.9,3.65,1.7,4,10.08,1.85,2.8,5.3,6.15,3.54,1.4,3.55,7,4.5,3.6,3.6,5,0.72,,,,,,,,,,,,,,,3.73,4.08,2.51,5.23,1.94,5.15,2.99,4.12,2.18,3.36,3.27,3.41,,
July,,,,,,,,,,3.25,,9.57,3.95,5.81,4.07,6.39,1.9,3.63,1.3,6.13,7.03,5.4,6.18,7.26,4.07,1.93,5.28,3.89,6.52,2.74,6.27,9.87,0.43,7.1,7.43,6.8,8.5,5.99,8.63,1.78,5.9,3.54,11.12,8.1,5.18,9.67,1.23,3.21,3.1,3.92,4.2,3.49,2.96,2.3,5.8,4.63,4.4,0.22,8.1,2.5,4.5,2.75,4.1,4.44,5.62,3.5,2.8,2.8,5.5,3.12,4,4.5,5.54,,,,,,,,,,,,,,,3.43,4.56,2.67,5.05,3.11,3.79,5.76,5.41,1,7.55,5.86,2.96,,
August,,,,,,,,,,3.63,,4.49,1.98,8.23,8.25,2.7,4.17,5.23,3.2,4.69,0.8,2.25,3.62,8.21,3.35,2.15,4.17,6.77,10.88,4.9,7.89,4.68,3.61,4.04,5.13,11.84,10.12,5.61,11.09,2.43,7.45,9.52,7,8.6,6.2,5.77,2.65,7.25,7.2,5.1,6.33,2.6,5.22,1.85,4.2,7.5,2.4,7.32,8.24,7.36,2.5,3.18,6.16,8.5,8.6,2.5,4.5,4.5,6.5,6.7,7.85,1.5,4,,,,,,,,,,,,,,4.75,0.35,5.55,6.14,4.67,,4.99,4.77,1.84,1.12,8.75,8.53,6.29,,
September,,,,,,,,,,8.18,,3.2,5.98,8.11,11.07,4.78,5.19,3.05,7.73,4.33,1.46,1.96,5.82,4.71,2.26,8.02,3.68,5.36,3.25,5.17,1.78,4.73,1.99,10.97,0.35,7.31,9.5,17.09,4.73,7.09,9.4,5.39,6.11,14.79,4.24,8.4,8.39,3.28,6.57,3.2,3.04,3.45,6.16,2.23,5.45,3.9,3.15,5.44,9.45,9.15,7.1,4.7,2.55,5.59,8.71,9,4.6,7.4,5.26,4,4.86,1.72,6.52,,,,,,,,,,,,,,8.52,9.73,7.09,3.72,14.05,,8.81,4.19,8.57,6.25,3.59,9.68,3.52,,
October,,,,,,,,,,4.12,,4.96,10.62,8.05,10.23,4.75,5.29,8.1,4.91,4.68,4.95,2.12,2.23,8.21,9.39,12.53,6.32,5.74,12.63,5.04,22.91,8.87,9.02,7.59,0,3.55,9.48,10.97,3.46,11.24,3.76,4.2,18.3,16.46,6.71,14.98,5.27,2.46,2.1,10.7,3.15,2.9,6.18,5.92,3.63,3.2,13.56,7.21,7.86,5.4,2.5,8.4,3.12,10.9,4.8,5.5,7.7,8.1,6.5,9.9,10.65,6,8.62,,,,,,,,,,,,,,1.68,4.47,7.48,3.9,7.34,,9.75,2.73,9.4,8.24,9.2,9.47,7.76,,
