"LOCH DRAMA",,,,,,,,,,,,
Grid ref,NH257755,Long,-4.929338,Lat,57.735302,,,,,,,
Station no,5780,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.00,,6.37,5.38,4.50,6.13,9.17,7.78,-999.00,5.22,,
February,4.30,,7.51,3.03,3.41,5.84,4.33,8.14,3.62,3.83,,
March,3.16,,3.00,3.05,1.93,2.44,4.72,3.51,2.90,1.02,,
April,7.81,,3.21,2.80,3.83,4.14,2.66,3.67,5.29,7.58,,
May,2.87,,3.57,4.94,3.39,5.50,2.26,6.57,-999.00,2.03,,
June,1.94,5.15,2.99,4.12,2.18,3.36,3.27,3.41,-999.00,6.74,,
July,3.11,3.79,5.76,5.41,1.00,7.55,5.86,2.96,-999.00,3.34,,
August,,4.99,4.77,1.84,1.12,8.75,8.53,6.29,-999.00,5.64,,
September,,8.81,4.19,8.57,6.25,3.59,9.68,3.52,-999.00,3.41,,
October,,9.75,2.73,9.40,8.24,9.20,9.47,7.76,-999.00,2.35,,
November,,6.49,10.43,7.48,3.31,9.15,3.87,2.74,-999.00,3.45,,
December,,9.52,5.14,11.31,10.68,10.29,11.52,6.66,-999.00,8.73,,
Total,,,59.67,67.33,49.84,75.94,75.34,63.01,-999.00,53.34,,
Calc annual,29.19,48.50,59.67,67.33,49.84,75.94,75.34,63.01,11.81,53.34,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,0.00,-0.00,-1010.81,0.00,,
