APPLEBY-GRAMMAR-SCHOOL,,,,,,,,,,,,,,,,,,,,
Grid ref,SK313091,Long,-1.5384823,Lat,52.678701,Elevation,334,ft,,,,,,,,,,,,
Station no,RR6613,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,2.85,1.38,2.81,1.5,2.64,1.5,0.85,3.95,,,,,,,
February,,,,,,1.48,2.19,1.42,1.93,2.49,1.37,1.11,2.63,,,,,,,
March,,,,,,1.13,1.53,2.63,2.04,1.89,1.44,0.81,1.59,,,,,,,
April,,,,,,0.58,0.59,2.75,1.55,2.21,0.83,2.71,3.17,,,,,,,
May,,,,,,3.22,1.96,1.49,1.38,4.88,0.75,1.62,1.93,,,,,,,
June,,,,,,2.01,2.71,2.36,0.41,1.2,0.81,2.49,5.18,,,,,,,
July,,,,,,3.48,3.35,2.15,0.29,0.71,1.59,4.52,3.65,,,,,,,
August,,,,,,4.1,3.75,3.39,3.88,2.3,1.87,0.71,3.61,,,,,,,
September,,,,,,0.31,5.86,2.67,1.96,3.65,0.88,4.03,2.91,,,,,,,
October,,,,,,5.73,2.33,2.71,2.22,1.23,2.68,1.95,3.59,,,,,,,
November,,,,,1.75,2.06,2.8,0.64,1.48,2.12,1.83,0.44,3.19,,,,,,,
December,,,,,1.69,0.75,1.95,2.03,5.26,3.42,1.6,1.42,,,,,,,,
Total,,,,,,27.7,30.4,27.05,23.9,28.74,17.15,22.66,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1872 May IDR,,,,,,,,,,,,,,,,,,,,
1872 Dec estimated,,,,,,,,,,,,,,,,,,,,
