"WIMBORNE ST GILES (ST GILES HO)",,,,,,,,,,,,
Grid ref,SU032116,Long,-1.955862,Lat,50.903865,,,,,,,
Station no,1623,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.91,2.48,,,,,,,,,,
February,7.05,0.89,,,,,,,,,,
March,4.13,3.28,,,,,,,,,,
April,3.25,2.28,,,,,,,,,,
May,2.49,3.22,,,,,,,,,,
June,0.30,1.17,,,,,,,,,,
July,0.99,0.43,,,,,,,,,,
August,5.80,3.59,,,,,,,,,,
September,5.20,3.99,,,,,,,,,,
October,1.02,4.67,,,,,,,,,,
November,10.03,4.11,,,,,,,,,,
December,3.91,3.16,,,,,,,,,,
Total,47.08,33.27,,,,,,,,,,
Calc annual,47.08,33.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
