LEVENTHORPE HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE365300,Long,-1.4467,Lat,53.7651,Elevation,94,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,0.04,2.69,1.34,0.39,0.64,3.08,0.22,1.05,3.64,0.2,0.46,0.98,1.24,2.43,1.97,1.93,0.63,2.68,1.78,0.96,2.19,0.87,2.82,1.9,0.17,0,0.24,2.37,1.4,3.09,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,2.37,1.71,1.06,1,1,0.62,3.18,0.18,0.58,1.49,1.98,2.59,1.67,1.14,2.05,0.95,1.72,2.26,1.01,2.22,1.4,2.07,0.87,0.59,3.24,1.66,3.2,1.63,1.39,2.04,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,1.23,0.51,2.56,0.85,1.78,2.33,2.8,2.57,0.48,2.1,0.48,1.05,1.84,1.53,1.9,1.74,0.69,2.15,2.22,1,0.41,3.6,3.18,0.52,1.08,2.27,3.12,1.31,2.56,1.24,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,0.34,2.88,2.97,2.24,3.62,0.8,1.2,1.04,0.53,1.63,1.44,1.66,3.04,1.68,1.85,0.67,2.76,3.19,0.77,1.36,0.57,2.07,2.77,2.05,2.13,1.73,1.22,2.85,2.57,1.54,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,1.61,4.83,1.73,1.85,0.35,2.81,0.95,2.84,1.32,1.8,1.72,0.9,2.31,0.81,4.33,0.88,1.15,1.21,2.34,0.81,1.28,0.84,1.28,3.49,1.35,2.24,0.75,1.21,1.31,1.1,1.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,1.98,2.41,2.47,3.17,1.85,4.2,2.1,1.71,2.57,0.93,0.79,2.9,1.73,0.32,0.8,1.96,4.15,3.26,1.05,0.56,2.46,2.03,1.19,2.58,2.77,2.14,1.39,2.9,4.04,0.73,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,5.33,1.35,2.53,1.33,3.38,3.16,2.19,2.16,1.27,1.06,1.76,4.84,2.96,0.22,0.56,0.7,2.49,7.13,2.95,1.66,2.98,1.71,3.01,0.73,3.8,4.66,1.06,3.39,2.68,3.72,1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,1.69,5.05,4.76,2.68,3.14,3.52,0.77,1.84,3.61,1.29,3.45,3.2,2.63,1.8,1.41,1.74,1.17,2.12,2.17,1.5,1.82,1.18,3.83,4.51,3.16,1.4,1.92,1.15,1.29,1.13,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,0.29,2.94,2.98,2.99,2.49,2.22,2.8,2.31,2.37,2.51,0.34,3.93,1.8,2.6,2.64,1.16,6.24,3.65,1.38,2.48,2.4,2.86,2.81,2.61,1.18,4.59,4.6,1.85,3.94,1.01,2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,4.15,3.06,1.25,2.74,2.67,1.3,0.77,3.74,3.4,2.42,4.79,2.66,1.79,0.55,1.87,5.52,2.53,3.92,1.58,1.35,3.92,3.06,2.96,1.23,0.38,4.74,2.69,3,3.46,1.1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
