DRUMBEG,,,,,,,,,,,,,,,,,,,,
Grid ref,NC122327,Long,-5.201195,Lat,58.242828,Elevation,200,ft,,,,,,,,,,,,
Station no,5804/6,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,4.02,2.81,4.73,5.75,4.94,3.96,,,,,,,,,
February,,,,,,5.69,0.9,3.97,5.05,4.7,3.1,,,,,,,,,
March,,,,,,1.96,2.12,3.15,2.29,3.1,3.15,,,,,,,,,
April,,,,,,4.57,4.36,3.15,5.11,4.26,5.06,,,,,,,,,
May,,,,,,1.17,1.96,1.42,2.45,1.41,0.68,,,,,,,,,
June,,,,,,3.64,3.2,2.68,1.28,4.53,2.48,,,,,,,,,
July,,,,,,6.58,2.19,4,2.11,2.7,3.47,,,,,,,,,
August,,,,,4.32,6.01,0.22,3.79,4.96,3.7,2.94,,,,,,,,,
September,,,,,4.07,6.07,9.73,6.5,4.29,10.09,2.75,,,,,,,,,
October,,,,,2.57,0.95,4.02,6.46,4.93,5.85,4.32,,,,,,,,,
November,,,,,1.9,3.93,8.41,5.2,4.19,5.11,5.17,,,,,,,,,
December,,,,,4.14,3.96,4.84,4.76,10.38,4.01,8.1,,,,,,,,,
Total,,,,,,48.55,44.76,49.81,52.79,54.4,45.18,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1945 -999 Deleted,,,,,,,,,,,,,,,,,,,,
1948 Jul estd,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,5804/6,,,,,,,,,,,,,,,,,,,
Midas,14299,,,,,,,,,,,,,,,,,,,
Hyd Stn,744715,,,,,,,,,,,,,,,,,,,
