"CRAY POST OFFICE CWMUCHAF",,,,,,,,,,,,
Grid ref,SN896241,Long,-3.606141,Lat,51.904465,,,,,,,
Station no,4190,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,10.00,9.00,2.48,5.22,6.93,9.80,11.83,7.86,8.98,9.32,,
February,8.50,2.20,3.10,8.10,3.05,0.72,9.00,12.65,0.47,10.49,,
March,7.00,6.00,6.10,6.82,4.72,3.83,7.85,1.15,7.27,2.76,,
April,6.75,5.30,6.42,1.28,4.54,1.55,0.37,1.83,7.05,6.59,,
May,2.93,5.00,4.12,4.92,6.45,2.59,3.96,6.35,1.67,2.69,,
June,2.15,4.00,2.26,6.29,7.22,4.44,1.32,3.91,4.90,3.11,,
July,1.26,1.94,5.97,5.30,1.32,4.67,6.31,3.77,5.44,5.15,,
August,7.09,7.04,5.04,5.04,1.42,7.04,5.92,3.85,0.96,6.00,,
September,7.08,4.36,7.45,9.08,3.36,6.78,11.36,10.03,0.49,5.57,,
October,2.07,8.59,5.92,14.61,3.82,3.74,6.38,6.40,7.54,8.39,,
November,14.36,4.06,7.09,17.35,8.57,2.24,4.43,3.09,11.81,17.82,,
December,10.40,6.57,2.93,8.20,10.61,10.04,6.49,7.01,17.42,9.66,,
Total,79.59,64.06,58.88,92.21,62.01,57.44,75.22,67.90,74.00,87.55,,
Calc annual,79.59,64.06,58.88,92.21,62.01,57.44,75.22,67.90,74.00,87.55,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
