WHITHORN,,,,,,,,,,,,,,,,,,,,
Grid ref,NX445407,Long,-4.4157046,Lat,54.737258,Elevation,207,ft,,,,,,,,,,,,
Station no,RR6282,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,2.8,2.97,6.06,3.1,1.97,4.11,2.31,4.15,2.44,3.31,2.46,4.26,4.95,3.42,4.49,4.25,2.65,,
February,,1.96,4.66,3.29,4.68,2.88,2.74,3.12,3.13,2.84,5.41,4.14,3.57,2.7,4.63,4.9,3.76,2.77,,
March,,2.49,2.41,5.06,3.15,3.95,2.74,4.27,4.16,4.24,2.49,1.49,5.2,5.39,5.18,2.12,1.39,3.11,,
April,,3.92,1.74,1.46,2.49,3.24,1.32,3,3.25,3.86,2.28,3.66,1.2,2.71,1.82,3.32,3.63,2.07,,
May,,1.35,2.86,3.9,2.89,1.34,5.3,4.15,2.57,1.63,2.22,1.79,1.78,3.04,1.99,1.23,5.26,4.31,,
June,,3.22,2.89,2.87,1.62,2.5,1.63,6.13,2.24,4.13,2.34,3.11,6.16,1.99,0.56,1,2.16,2.26,,
July,,1.41,3.77,5.43,3.48,1.87,3.24,2.21,4.57,4.91,3.41,1.96,2.92,1.32,2.56,3.09,3.42,2.2,,
August,,4.5,3.02,5.26,6.07,5.51,4.58,5.54,4.25,2.6,7.59,1.98,4.89,1.95,4.55,2.07,1.63,5.61,,
September,,2.46,4.54,5.21,3.86,2.22,1.69,1.15,4.23,3.08,1.31,2.17,2.58,2.92,1.24,0.93,2.25,2.96,,
October,,8.19,2.9,8.79,2.27,3.62,7.46,8.86,1.87,8.25,3.45,3.69,4.96,2.46,2.73,3.81,8.59,8.95,,
November,,5.16,4.92,3.57,4.14,4.86,3.51,5.36,3.09,1.66,7.4,5.15,4.37,6.64,5.45,3.19,4.78,6.19,,
December,,5.97,4.23,3.78,3.3,1.89,5.15,6.16,5.13,6.09,6.19,8.5,5.59,4.02,6.92,7.48,4.76,4.62,,
Total,,43.43,40.91,54.68,41.05,35.85,43.47,52.26,42.64,45.73,47.4,40.1,47.48,40.09,41.05,37.63,45.88,47.7,,
