WHITHORN,,,,,,,,,,,,
Grid ref,NX444402,Long,-4.418092,Lat,54.732626,,,,,,,
Station no,RR6282,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,2.80,2.97,6.06,3.10,1.97,4.11,2.31,4.15,2.44,,
February,,1.96,4.66,3.29,4.68,2.88,2.74,3.12,3.13,2.84,,
March,,2.49,2.41,5.06,3.15,3.95,2.74,4.27,4.16,4.24,,
April,,3.92,1.74,1.46,2.49,3.24,1.32,3.00,3.25,3.86,,
May,,1.35,2.86,3.90,2.89,1.34,5.30,4.15,2.57,1.63,,
June,,3.22,2.89,2.87,1.62,2.50,1.63,6.13,2.24,4.13,,
July,,1.41,3.77,5.43,3.48,1.87,3.24,2.21,4.57,4.91,,
August,,4.50,3.02,5.26,6.07,5.51,4.58,5.54,4.25,2.60,,
September,,2.46,4.54,5.21,3.86,2.22,1.69,1.15,4.23,3.08,,
October,,8.19,2.90,8.79,2.27,3.62,7.46,8.86,1.87,8.25,,
November,,5.16,4.92,3.57,4.14,4.86,3.51,5.36,3.09,1.66,,
December,,5.97,4.23,3.78,3.30,1.89,5.15,6.16,5.13,6.09,,
Total,,43.43,40.91,54.68,41.05,35.85,43.47,52.26,42.64,45.73,,
Calc annual,0.00,43.43,40.91,54.68,41.05,35.85,43.47,52.26,42.64,45.73,,
Difference,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
