FARNBOROUGH-GRANGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU868572,Long,-0.756154,Lat,51.307309,Elevation,232,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,6.37,1.43,3.9,0.87,0.92,1.61,2.52,2.38,2,3.73,3.05,,1.32,3.25,2.44,0.64,2.02,3.53,2.53,0.72,2.47,1.2,3.27,3.82,1.5,0.97,3.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,1.89,2.4,3.92,2.86,2.23,1.2,5.32,2.1,3.82,0.61,0.8,,2.31,1.01,0.06,1.49,4.13,2.13,0.17,0.6,3.52,1.68,3.26,4.81,1.57,1.12,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,2.62,0.74,0.82,0.68,2.15,1.59,1.46,2.03,2.09,1.53,1.9,,2.38,1.87,1.75,1.42,0.71,1.98,1.91,3.74,4.63,1.07,1.19,1.24,2.56,2.37,3.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,3.34,3.04,3.43,2.35,0.45,3.55,1.24,1.64,1.31,1.92,1.79,,3.09,2.78,0.78,1.28,0.09,2.25,1.87,0.77,1.85,1.82,2.93,1.2,2.14,1.13,2.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,2.57,3.88,4.58,0.19,1.47,1.9,1.76,0.65,3.4,3.63,1.6,,3.02,2.54,3.39,1.12,1.03,2.24,0.63,0.44,1.44,2.87,2.01,1.36,0.82,3.13,3.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,1.48,2.05,4.55,3.59,1.86,3.06,2.6,1.96,2.03,0.78,1.38,,0.61,2.81,1.18,2.45,1.02,2.4,0.63,2.24,3.7,1.93,1.59,2.72,1.72,3.85,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,3.15,1.74,4.17,4.66,1.88,2.22,1.42,2.4,0.27,1.73,0.56,,2.66,4.01,3.6,2.56,2.62,4.18,4.56,1.3,0.9,0.75,0.55,0.98,1.98,1.08,3.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,2.21,5.51,5.42,0.91,6.57,1.74,0.63,1.78,0.79,0.67,1.82,,2.1,2.58,4.17,4.76,1.59,3.3,1.82,2.93,3.05,1.63,0.91,3.28,2.02,4.16,3.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,1.07,1.13,2.63,6.13,1.98,3.41,3.34,2.38,4.39,1.51,2.25,,1.24,1.47,1.71,3.01,1.63,2.57,1.47,6.5,2.01,0.93,2.53,0.55,1.28,0.76,2.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,2.17,3.42,1.7,6.35,2.39,6.09,2.36,1.08,3.97,4.35,1.49,,4.86,1.27,7.32,4.56,4.61,4.99,3.4,3.23,1.12,3.79,3.46,2.18,3.22,2.34,8.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
