Rainfall at,KILMARNOCK (NORTH CRAIG RESERVOIR)
,
Station no,5234,
,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,5.70,8.60,3.30,5.30,5.10,4.70,5.02,6.70,10.75,1.83,5.88,
February,5.30,2.20,5.40,3.40,1.40,3.50,5.02,3.19,4.40,2.33,0.20,
March,4.50,6.10,2.10,1.70,0.80,2.00,4.38,3.22,2.45,1.57,2.52,
April,1.40,1.30,1.90,2.80,2.70,4.20,2.35,3.85,1.52,1.41,2.00,
May,4.80,2.70,4.60,1.60,4.20,5.70,3.16,2.46,1.92,3.46,1.66,
June,3.40,1.20,3.70,1.70,2.70,0.40,2.43,5.90,4.18,3.55,3.21,
July,3.30,3.90,3.30,5.20,3.30,2.40,4.54,4.25,3.42,5.26,2.78,
August,5.50,6.40,4.30,7.00,4.30,3.40,3.58,4.29,4.36,7.56,6.35,
September,2.80,2.60,2.70,6.70,5.20,3.30,4.43,6.90,4.63,2.25,2.97,
October,1.30,4.70,2.80,6.80,3.30,4.00,5.51,5.86,8.89,5.83,7.88,
November,4.10,2.30,3.50,4.60,3.30,1.70,4.55,5.52,6.63,7.51,5.41,
December,3.60,9.00,3.30,4.80,5.10,3.40,3.20,0.92,4.50,9.15,4.30,
Total,45.70,51.00,40.90,51.60,41.40,38.70,48.17,53.06,57.65,51.71,45.16,
Calc annual,45.70,51.00,40.90,51.60,41.40,38.70,48.17,53.06,57.65,51.71,45.16,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,
