KILMARNOCK (NORTH CRAIG RES),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS438412,Long,-4.483198,Lat,55.63918,Elevation,319,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,8.03,7.76,4.03,3.27,0.61,2.4,3.42,3.59,4.07,5.44,4.41,4.54,6.5,3.11,3.06,7.25,3.8,5.58,3.91,3.33,3.09,7.07,6.6,4.32,5.16,1.67,5.95,4.96,1.36,2.39,0.33,4.41,5.72,6.99,2.48,4.19,2.65,1.92,2.62,4.89,4.2,3.85,1.2,4.4,1.35,2.5,1.4,3.15,5.8,6.05,2.05,5.5,7,4.5,4,4.5,3,6,5.7,5.3,3.7,2.5,3.3,4.4,3.6,5.5,3.1,4.9,4.1,5.7,8.6,3.3,5.3,5.1,4.7,5.02,6.7,10.75,1.83,5.88,5.22,8.26,3.97,5.62,3.18,4.69,4.54,6.5,3.9,3.14,0.81,6.37,4.42,5.49,3.23,5.26,3.18,8.05,6.18,3.37,5.06,4.37,3.54,4.97,2.8,3.16,5.21,4.75,1.25,4.33
February,,3.86,4.56,1.32,3.89,1.04,4.05,1.41,1.72,5.22,3.98,2.97,2.04,2.8,2.29,3.04,4.07,3.42,6.38,5.31,2.34,5,3.27,0.65,1.26,1.11,4.4,4.71,2.35,1.24,3.99,3.17,3.7,2.03,3.92,3.6,2.08,2.37,0.77,2.48,0.75,0.75,2.4,4.45,7.6,0.2,3.7,2.9,4.1,1.8,3,1.8,1.2,5,3,2.5,3,3.7,3.5,3.4,5.3,7.5,2.5,2.5,4.4,4.5,4.6,1.1,5.9,0.4,5.3,2.2,5.4,3.4,1.4,3.5,5.02,3.19,4.4,2.33,0.2,4.4,0.11,3.99,0.92,5.6,1.88,5.68,1.99,5.48,1.7,2.42,1.6,5.06,1.82,7.86,3.2,0.5,4.13,4.15,4.15,3.27,2.03,2.08,3.34,2.14,1.76,2.64,3.55,2.44,3.7
March,,4.91,0.66,0.64,2.32,1.88,0.06,2.25,2.57,5.58,4.02,5.68,3.62,1.75,4.38,2.29,1.39,0.73,4.97,0.93,1.39,2.89,2.16,2.11,3.66,1.81,4.29,2.38,1.91,3.18,2.21,3.41,3.49,0.7,2.07,2.25,3.44,2.14,2.69,1.6,1.63,3.3,1,2.05,3.75,3.4,5.75,4.95,1.85,3.7,0,2.2,4,8.3,2,4.2,3.1,4.8,4.5,2.1,2.1,1.8,3.4,4.6,4.9,2,1.3,2.9,1.8,2.8,4.5,6.1,2.1,1.7,0.8,2,4.38,3.22,2.45,1.57,2.52,1.12,2.91,2.65,2.67,2.87,2.79,1.02,4.26,3.59,4.96,3.46,2.2,2.33,0.42,3.45,3.05,3.25,4.17,2.88,4.19,3.89,2.52,0.81,3.05,1.53,2.62,5.44,0.96,2.81,2.02
April,,2.13,0.81,2.93,1.09,2.15,1,1.27,2.18,4.12,1.6,0.42,4.2,3.69,1.87,0.57,1.12,4.88,3.25,2.02,1.32,3.79,1,0.36,1.67,1.18,1.25,2.73,2.85,1.05,3.59,0.9,2.4,2.04,1.14,1.84,1.38,2.85,2.23,1.69,1.4,0.1,1,1.95,1.7,1.5,3,2,2.05,3.2,2.1,3.6,1,1.4,5.4,2,2,2.7,2,3.7,3.2,3.1,2.5,2.6,3.3,3.2,4.1,2.8,0.5,2.2,1.4,1.3,1.9,2.8,2.7,4.2,2.35,3.85,1.52,1.41,2,2.32,3.51,3.12,3.79,3.06,1.28,2.06,1.16,2.42,1.93,1.81,1.94,3.41,3.25,1.83,2.17,5.25,3.29,5.09,3.45,3.14,2.01,1.83,1.71,3.1,1.28,3.65,1.65,2.65,3.51
May,,0.69,2.59,1.06,3.68,1.54,3.52,1.66,5.08,0.29,3.04,1.05,4.93,3.46,2.25,3.15,1.69,1.73,3.03,0.68,3.5,0.68,2.72,2.43,1.96,1.72,0.64,1.63,2.45,2.55,1.08,2.48,1.8,2.57,3.39,1.88,2.67,1.83,1.93,2.25,2.8,2.35,5.25,2.9,2.9,0.3,1.1,1.8,1.95,4.2,2.5,1.8,2,3,3,3,4.9,3.6,2.6,2.6,2.3,3,1.2,3.9,2,0.7,3.8,2.2,1.8,0.5,4.8,2.7,4.6,1.6,4.2,5.7,3.16,2.46,1.92,3.46,1.66,3,3.53,2.14,3.34,0.76,1.76,1.81,4.35,1.1,0.93,3.21,3.31,3.77,3.81,4.61,1.58,4.23,1.9,2.56,2.1,2.03,1.45,2.32,2.83,3.67,2.55,2.76,2.75,1.62,1.77
June,,5.39,4.64,3.32,5.47,2.54,6.37,2.6,3.3,1.83,3.95,3.64,3.12,4.09,2.94,1.47,2.2,2.14,1.45,2.57,2.48,1.81,6.39,1.75,1.17,2.85,2.93,3.6,2.2,4.57,2.46,3.26,4.29,3.27,1.25,1.43,0.95,1.08,1.53,0.32,3.9,1.75,3.7,1.6,3.3,1.35,3.6,6.8,2.7,2,2.3,2.8,2.2,3.2,1.8,1,1.3,4.1,2.9,3.2,1.5,2.5,4.2,2.4,1,2.4,2.5,2.2,1.3,4.6,3.4,1.2,3.7,1.7,2.7,0.4,2.43,5.9,4.18,3.55,3.21,5.5,1.68,2.1,2.31,5.22,1.84,4,5.61,2.23,0.95,1.42,1.69,4.02,4.02,4.55,3.12,3.46,6.75,1.35,3,2.17,3.14,1.48,4.73,3.11,3.12,2.87,2.36,4.01,2.19
July,,5.73,6.43,5.87,2.92,4.79,3.14,2.74,5.03,3.6,1.95,3.95,5.55,0.23,2.47,2.22,3.41,4.39,0.71,2.43,3.1,4.31,3.81,5.93,2.84,2,3.31,3.93,1,3.92,3.77,4.68,4.86,2.71,4.51,1.61,2.79,2.72,4.87,3.15,3.7,1,3.05,4.1,3.8,5.3,5.3,2,1.65,4.95,4.1,1.6,4.7,3.5,3.4,3.4,3.3,3.2,3.1,5.3,3.2,2.9,2.6,1.5,2.7,4.2,3.4,1.6,3.3,1,3.3,3.9,3.3,5.2,3.3,2.4,4.54,4.25,3.42,5.26,2.78,5.06,4.72,4.55,3.7,2.51,7.1,5.74,5.49,5.59,3.61,5.1,4.42,2.81,5.4,4.27,4.13,4.74,3.95,2.05,6.13,3.22,4.34,5.82,5.13,1.2,5.3,5.25,4.41,7,3.55
August,,8.07,4.42,2.48,3.43,5.46,4,1.21,2.16,4.11,4.05,9.23,4.81,3.86,2,5.11,5.95,4.05,4.15,1.89,2.35,4.1,4.03,5.33,5.2,3.72,4.54,5.41,3.71,5.01,0.84,3.67,3.79,5.22,2.47,2.74,2.59,2.58,2.28,4.95,3.45,6.2,7.3,4.1,4.25,6.45,2.2,5.3,5.9,1.8,4.5,6,4,7.3,5.3,4.4,5.35,5.4,3.4,4.5,7.9,2.9,3.5,2,4.6,3.7,3.9,3.5,4,3.3,5.5,6.4,4.3,7,4.3,3.4,3.58,4.29,4.36,7.56,6.35,1.34,2.77,4.4,4.41,2.65,5.49,3.69,3.63,2.59,3.43,5.62,6.41,6.11,3.67,2.33,2.42,0.18,7.15,4.7,5.99,4.58,4.15,3.11,5.48,1.75,6.68,4.7,4.65,1.3,4.47
September,,1.73,1.31,2.2,2.67,1.46,3.05,2.96,3.97,4.76,1.74,5.74,2.49,6.77,6.08,1.24,6.65,4.65,2.14,6.38,4.16,1.81,6.85,4.38,5.03,5.79,2.52,2.01,5.35,5.75,3.58,2.22,4.1,4.32,2.83,5.57,4.08,3.72,2.24,2.35,4.95,5.8,4.9,2.8,0.05,1.25,4.4,3.7,5,5,4.05,3.8,4.5,4.4,5,4.6,1.9,1.6,5.8,2.1,1.7,2.2,3.6,2.3,2.3,1,2,3,6.7,4.3,2.8,2.6,2.7,6.7,5.2,3.3,4.43,6.9,4.63,2.25,2.97,1.42,5.46,0.99,5.08,6.98,4.4,2.75,4.65,2.68,6.01,2.03,5.49,3.2,6.04,4.91,7.62,5.7,7.46,2.51,11.43,3.48,3.07,4.22,7.4,6.05,4.21,3.88,4.2,1.39,3.14
October,4,4.83,1.85,5.16,4.36,6.66,2.24,3.04,5.31,3.09,5.57,4.82,8.18,3.95,3.77,3.87,2.65,5.09,5.61,2.57,5.09,2.43,3.74,7.84,5.75,4.29,6.94,5.08,5.44,2.99,0.62,2.8,4.15,4.51,4.1,3.79,3.24,1.34,1.46,4.31,3.7,4.05,4.1,5.5,3.7,5,4.05,1.7,4.05,3.8,6.7,4.6,3.5,9.5,2,3.7,5.5,7,1,6,3.2,3.2,5,2,2,1.9,6.4,7.7,6.1,1,1.3,4.7,2.8,6.8,3.3,4,5.51,5.86,8.89,5.83,7.88,3.82,6.47,3.09,7.51,8.8,6.62,3.27,10.08,1.57,4.94,4.58,7.15,7.68,5.6,7.3,0.43,2.37,7.46,6.88,3.45,0.77,3.67,3.32,10.22,3.11,3.65,4.86,4.07,6.97,2.48
