KILMARNOCK (NORTH CRAIG RESERVOIR),,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5234,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,5.22,8.26,3.97,5.62,3.18,4.69,4.54,6.50,3.90,3.14,,
February,4.40,0.11,3.99,0.92,5.60,1.88,5.68,1.99,5.48,1.70,,
March,1.12,2.91,2.65,2.67,2.87,2.79,1.02,4.26,3.59,4.96,,
April,2.32,3.51,3.12,3.79,3.06,1.28,2.06,1.16,2.42,1.93,,
May,3.00,3.53,2.14,3.34,0.76,1.76,1.81,4.35,1.10,0.93,,
June,5.50,1.68,2.10,2.31,5.22,1.84,4.00,5.61,2.23,0.95,,
July,5.06,4.72,4.55,3.70,2.51,7.10,5.74,5.49,5.59,3.61,,
August,1.34,2.77,4.40,4.41,2.65,5.49,3.69,3.63,2.59,3.43,,
September,1.42,5.46,0.99,5.08,6.98,4.40,2.75,4.65,2.68,6.01,,
October,3.82,6.47,3.09,7.51,8.80,6.62,3.27,10.08,1.57,4.94,,
November,7.33,4.35,1.91,2.03,5.07,4.84,0.83,6.60,9.16,5.40,,
December,5.44,7.99,1.78,5.69,3.31,6.55,3.19,2.59,3.56,6.08,,
Total,45.97,51.76,34.69,47.07,50.01,49.24,38.58,56.91,43.87,43.08,,
Calc annual,45.97,51.76,34.69,47.07,50.01,49.24,38.58,56.91,43.87,43.08,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
