"LOXLEY VALLEY (BROGGING MOSS)",,,,,,,,,,,,
Grid ref,SK211917,Long,-1.683965,Lat,53.421680,,,,,,,
Station no,3123/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.85,6.00,2.63,4.80,3.80,8.05,4.21,6.05,4.70,9.48,,
February,4.10,1.89,2.80,4.50,3.75,2.00,4.15,7.30,0.47,3.60,,
March,6.43,2.86,2.55,3.00,4.50,2.50,4.12,3.78,2.25,2.54,,
April,2.80,2.95,3.67,0.85,1.95,2.40,0.35,1.59,4.54,3.23,,
May,4.72,3.13,3.10,5.10,4.85,1.30,1.65,3.98,1.26,2.21,,
June,1.27,2.84,3.57,3.20,3.84,5.50,1.61,5.78,2.18,1.90,,
July,2.73,2.64,5.52,5.70,1.40,9.80,4.56,6.80,3.39,6.94,,
August,5.87,2.24,5.53,8.30,1.15,8.55,9.19,3.97,1.26,5.08,,
September,3.37,5.10,2.31,5.70,1.85,4.97,7.41,5.15,0.11,5.33,,
October,1.28,8.45,2.69,8.47,4.20,3.47,4.93,4.75,4.87,10.00,,
November,11.47,4.40,3.60,8.10,2.97,3.16,3.06,1.31,5.69,6.19,,
December,7.93,4.96,2.34,8.00,6.50,6.30,6.17,5.30,8.34,6.60,,
Total,58.82,47.46,40.31,65.72,40.76,58.00,51.41,55.76,39.06,63.10,,
Calc annual,58.82,47.46,40.31,65.72,40.76,58.00,51.41,55.76,39.06,63.10,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
