"EAST FLEET FLEET HOUSE",,,,,,,,,,,,
Grid ref,SY617806,Long,-2.542801,Lat,50.623837,,,,,,,
Station no,RR4771,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.07,1.78,0.97,2.66,4.13,0.94,6.40,1.09,0.90,0.94,,
February,4.78,1.17,1.59,2.16,4.55,0.52,3.66,1.46,1.59,0.27,,
March,1.45,2.56,2.05,3.31,1.35,4.75,1.09,0.44,2.56,4.22,,
April,1.15,2.86,1.89,3.38,1.04,1.45,0.81,3.49,1.99,0.69,,
May,1.53,0.98,2.09,2.50,3.04,0.34,2.65,1.88,1.22,1.18,,
June,2.39,0.90,2.60,1.71,0.70,1.74,1.75,1.70,0.42,2.37,,
July,0.82,2.15,1.31,2.42,3.02,0.33,1.03,1.42,0.56,2.08,,
August,1.73,2.49,2.89,3.59,2.92,2.23,0.81,1.10,2.84,2.78,,
September,1.08,3.09,1.81,3.22,1.82,2.07,0.77,0.76,2.93,1.49,,
October,1.70,3.86,2.21,6.03,2.44,2.19,4.19,8.84,4.98,6.42,,
November,3.58,0.42,3.72,1.08,1.59,4.90,3.59,3.33,0.98,0.58,,
December,4.99,4.39,1.60,2.82,3.00,0.79,1.75,4.36,2.78,4.13,,
Total,29.27,26.65,24.73,34.88,29.60,22.25,28.50,29.87,23.75,27.15,,
Calc annual,29.27,26.65,24.73,34.88,29.60,22.25,28.50,29.87,23.75,27.15,,
Difference,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
