ADDINGTON-CE-SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP741287,Long,-0.923202,Lat,51.951865,Elevation,320,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,0.89,,2.51,2.85,0.92,3.74,1.03,2.06,0.92,1.79,1.02,3.83,3.17,0.92,2.38,1.29,1.73,2.75,3.42,2.22,2.81,2.57,1.26,2.81,1.4,2.81,2.42,3.68,,
February,,0.61,1.6,0.75,3.24,0.6,1.87,1.21,1.11,0.49,2.81,1.42,1.81,1.08,1.74,3.22,4.16,1.22,1.35,2.27,0.54,0.35,2.58,3.61,0.54,2.97,2.04,3.52,1.73,,
March,,1.59,1.44,3.36,1.54,2.94,1.7,1.18,2.71,2.07,0.79,1.98,3.13,2.3,3.85,2.24,5.19,1.56,0.59,4.27,2,1.16,1.59,1.84,0.68,0.57,0.25,2.28,1.69,,
April,,1.79,0.95,1.51,1.06,2,0.82,2.62,4.58,1.71,2.31,1.28,0.04,2.5,0.79,0.93,1.05,1.32,3.53,2.33,3.13,1.11,3.87,2.39,2.6,1.58,2.31,1.55,1.19,,
May,,1.84,1.89,3.91,2.36,0.85,1.52,3.02,1.61,1.93,2.24,2.14,1.45,1.66,1.08,1.99,1.48,1.9,1.7,0.32,1.8,1.29,0.94,1.15,4.77,2.17,3.67,0.73,0.94,,
June,,1.06,2.09,5.19,0.62,3.61,3.76,2.3,1.52,3.64,2.34,1.21,2.49,0.65,2.2,0.17,2.02,1.94,0.71,0.84,2.62,0.42,1.2,0.29,2.25,0,2.88,2.97,2.6,,
July,,0.38,1.4,3.67,2.68,0.63,0.57,2.04,2.04,3.65,2.13,0.39,2.24,1.4,2.09,5.61,2.49,3.02,3.14,2,3.2,0.11,4.67,2.58,2.35,3.3,2.05,2.68,2.35,,
August,,2.46,2.76,4.02,1.64,3.37,1.23,2.02,3.99,2.72,2.14,1.23,6.4,0.55,,2.22,2.5,5.41,1.08,2.28,1.04,1.28,3.14,2.89,1.82,1.75,1.08,3.5,2.01,,
September,,1.37,1.87,1.82,2.52,1.46,1.12,1.01,1.44,2.45,0.53,1.48,1.35,1.84,0.75,2.43,0.6,1.75,5.12,1.75,2.08,1.76,2.06,2.31,3.22,3.15,1.77,5.74,0.47,,
October,,1.33,1.73,6.44,0.83,1.39,4.03,4.05,1.11,4.01,3.12,2.15,2.7,3.32,2.86,1.92,3.1,4.16,1.37,1.54,1.09,1.04,0.94,4.01,3.62,3.34,2.36,1.52,3.63,,
November,,0.56,1.72,1.72,1.65,3.21,4.08,1.92,0.92,0.77,3.5,2.64,1.63,2.25,1.87,2.35,3.47,0.88,1.98,1.41,1.32,1.87,1.2,1.37,2.99,1.77,4.07,2.86,2.96,,
December,,0.86,1.29,1.21,1.96,0.63,2.32,3.86,2.22,2.39,4.93,4.57,3.16,0.83,5.22,4.62,2.85,0.81,2.54,4.49,1.96,1.62,2.14,2.98,3.57,2.11,0.41,2.79,,,
Total,,14.74,,36.11,22.95,21.61,26.76,26.26,25.31,26.75,28.63,21.51,30.23,21.55,,30.08,30.2,25.7,25.86,26.92,23,14.82,26.9,26.68,31.22,24.11,25.7,32.56,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928 Dec estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
