"GLEN FIADH",,,,,,,,,,,,
Grid ref,NH180257,Long,-5.021286,Lat,57.285549,,,,,,,
Station no,5713/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,9.45,10.95,7.25,10.65,4.95,10.95,15.55,11.85,5.75,6.42,,
February,5.75,5.75,6.38,7.25,7.15,6.65,7.55,7.55,6.60,6.25,,
March,5.45,6.75,4.65,5.95,4.50,5.75,6.95,4.55,5.10,3.28,,
April,7.25,5.55,6.48,4.75,4.45,4.95,4.45,6.55,7.90,9.60,,
May,3.35,5.25,7.85,7.25,5.85,6.85,3.15,8.25,3.45,2.50,,
June,4.45,5.75,2.15,4.95,3.50,4.75,5.85,4.95,6.55,3.27,,
July,4.95,4.35,6.75,4.05,1.95,6.45,6.35,4.50,8.55,4.18,,
August,6.55,7.95,7.55,6.45,3.15,8.75,8.55,6.15,6.45,7.63,,
September,6.65,6.50,6.95,10.35,8.45,6.55,6.75,6.85,3.95,4.92,,
October,4.45,10.55,5.55,13.35,9.95,9.55,12.15,13.55,11.77,4.94,,
November,9.95,6.65,10.90,9.95,5.25,10.65,5.56,3.55,10.83,8.46,,
December,12.25,9.15,9.55,18.65,14.55,13.65,12.55,6.15,11.65,10.00,,
Total,80.50,85.15,82.01,103.60,73.70,95.50,95.41,84.45,88.55,71.45,,
Calc annual,80.50,85.15,82.01,103.60,73.70,95.50,95.41,84.45,88.55,71.45,,
Difference,0.00,-0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,0.00,,
