YORK - BURTON CROFT,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE597529,Long,-1.091,Lat,53.969,Elevation,50,ft,,,,,,,,,,,,,,,,,,
Station no,RR4285,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906
January,0.54,1.65,1.75,,,,,0.76,1.22,1.96,0.90,1.04,1.52,2.45,3.26,0.56,1.69,0.63,2.17,3.33,1.12,0.98,1.68,2.14,0.51,2.82
February,3.68,,2.49,,,,,1.82,1.15,0.77,0.04,1.54,2.50,3.12,0.50,0.73,1.96,1.03,1.16,4.00,1.85,1.31,1.15,2.38,0.82,1.58
March,2.24,,1.34,1.78,,,,2.95,2.59,1.31,1.18,1.05,0.33,1.40,2.29,2.48,2.22,1.30,1.12,0.53,1.99,1.00,2.42,1.48,1.70,1.45
April,1.09,,1.69,1.82,,,,2.03,1.31,0.67,1.57,1.41,0.55,1.69,1.46,0.96,1.75,2.53,1.85,1.09,1.82,1.39,1.44,1.83,2.54,1.05
May,0.67,,1.00,1.09,,,,0.63,3.59,1.95,2.02,2.86,2.04,2.62,0.49,0.53,1.13,2.10,3.44,1.22,1.33,2.12,3.63,2.48,0.73,1.72
June,2.32,3.36,3.27,0.35,,,,1.72,0.42,2.17,0.69,4.78,1.06,3.95,3.07,2.84,2.36,1.68,1.61,2.14,1.26,1.78,2.06,0.87,2.32,1.49
July,1.38,3.87,4.91,4.54,,,,5.65,1.33,2.43,2.58,1.41,3.56,3.44,3.91,1.76,0.71,1.34,1.09,1.25,0.86,2.53,3.04,1.89,1.66,0.88
August,4.80,2.43,,1.20,,,,1.70,4.15,3.95,4.15,2.75,2.88,2.90,2.37,2.14,4.24,3.09,0.95,3.68,1.38,1.89,2.10,3.09,3.43,1.97
September,3.27,1.16,,1.06,,,,0.99,1.07,2.25,1.10,1.29,1.62,1.41,0.94,3.10,2.82,1.26,2.44,0.90,0.87,0.54,3.26,1.20,2.18,0.45
October,2.76,5.20,,0.70,,,,0.74,3.68,1.18,3.04,4.81,2.20,3.57,3.76,3.44,1.75,3.11,2.09,3.63,1.79,1.92,7.14,0.79,1.22,4.57
November,2.31,2.95,,1.04,,,,3.18,0.70,2.70,2.23,1.47,2.75,1.24,2.75,1.55,2.36,2.80,1.14,2.69,3.27,1.23,1.43,1.50,3.41,2.69
December,2.57,4.56,,1.62,,,,1.49,1.50,0.67,2.67,0.65,2.91,1.54,2.41,3.23,2.07,1.77,2.89,2.60,3.71,1.78,0.85,1.43,0.30,1.58
Total,27.63,,,,,,,23.66,22.71,22.01,22.17,25.06,23.92,29.33,27.21,23.32,25.06,22.64,21.95,27.06,21.25,18.47,30.20,21.08,20.82,22.25
,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_10_pt2/091,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_16_pt1/106,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_21_pt1/230,,,,,,,,,,,,,,,,,,,,,,,,,,
