"YORK BURTON CROFT",,,,,,,,,,,,
Grid ref,SE597529,Long,-1.091424,Lat,53.968737,,,,,,,
Station no,RR4285,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,0.96,1.68,2.10,0.49,2.79,,,,,
February,,,1.29,1.16,2.30,0.85,1.60,,,,,
March,,,0.97,2.40,1.45,1.67,1.43,,,,,
April,,,1.37,1.42,1.79,2.50,1.02,,,,,
May,,,2.08,3.97,2.45,0.72,1.70,,,,,
June,,,1.76,2.07,0.85,2.28,1.50,,,,,
July,,,2.50,3.03,1.86,1.62,0.86,,,,,
August,,,1.85,2.06,3.10,3.43,2.00,,,,,
September,,,0.52,3.24,1.23,2.15,0.47,,,,,
October,,,1.93,6.95,0.76,1.20,4.43,,,,,
November,,,1.26,1.40,1.52,3.40,2.73,,,,,
December,,,1.80,0.80,1.43,0.28,1.61,,,,,
Total,,,18.29,30.18,20.84,20.59,22.14,,,,,
Calc annual,0.00,0.00,18.29,30.18,20.84,20.59,22.14,0.00,0.00,0.00,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,,
