EVESHAM BANK,,,,,,,,,,,,,,,,,,,,
Grid ref,SP037438,Long,-1.9474079,Lat,52.092534,Elevation,120,ft,,,,,,,,,,,,
Station no,RR6158,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,0.7,2.36,2.52,2.65,1.45,2.91,2.13,0.61,1.06,2.01,1.84,1.26,,,,,,,
February,2.87,3.46,2.08,3.26,0.96,2.96,0.68,0.41,0.74,1.7,0.6,0.05,0.96,,,,,,,
March,1.22,1.21,1.13,1.17,1.84,0.85,2.24,1.26,2.02,3.19,0.67,1.39,0.75,,,,,,,
April,1.73,0.52,3.15,0.88,1.69,1.97,2.08,1.1,1,3.03,0.97,1.57,0.84,,,,,,,
May,1.27,1.46,1.58,1.47,1.3,2.65,4.57,1.66,1.03,3.48,1.79,3.79,1.03,,,,,,,
June,3.45,2.28,3.2,2.89,3.6,2.33,1.16,1.58,2.17,1.32,1.72,0.98,2.05,,,,,,,
July,4.89,1.47,3.75,3.14,2.89,0.19,2.45,1,4.75,3.24,1.93,2.58,1.38,,,,,,,
August,0.43,4.66,1.85,0.91,2.22,2.97,1.05,1.5,2.49,2.31,2.52,4.69,2.31,,,,,,,
September,4.98,1.56,3.07,3.1,0.72,3.14,2.54,2.11,1.29,2.05,0.83,1.58,2.61,,,,,,,
October,4.45,1.8,6.28,2.12,0.81,3.07,4.13,2.54,0.56,2.14,1.1,5.4,1.6,,,,,,,
November,2.35,2.78,3.96,3.61,1.87,3.95,1.98,2.14,4.65,1.2,1.99,1.47,,,,,,,,
December,2.89,2.57,2.93,0.69,2.19,0.69,3.73,1.58,2.02,1.44,1.05,3.02,,,,,,,,
Total,,24.47,35.34,25.76,22.74,26.22,29.52,19.01,23.33,26.16,17.18,28.36,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1892 Nov gauge moved 1 mile N to The Drift - data for 1893 and 1894 then record terminated,,,,,,,,,,,,,,,,,,,,
