MUCH-HADHAM-THE-LORDSHIP,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL428198,Long,0.072210078,Lat,51.858521,Elevation,205,ft,,,,,,,,,,,,,
Station no,962,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,2.76,,,,3.31,1.43,2.06,1.75,1.75,1.65,1.62,2.09,,,,,
February,,,,,0.67,,2.7,,1.41,0.57,0.72,2.17,0.27,1.78,0.12,3.15,,,,,
March,,,,,0.97,,0.16,,1.93,0.15,1.87,0.08,1.64,2.39,2.11,0.53,,,,,
April,,,,,2.57,,2.55,,1.08,1.77,2.37,,1.95,0.93,1.96,3.57,,,,,
May,,,,,4.05,,1.55,,1.72,1.94,2.12,,3.88,2.19,0.57,1.65,,,,,
June,,,,,2.35,,,,1.95,0.43,1.15,1.75,0.83,2.06,1.45,3.28,,,,,
July,,,,,3.51,,2.43,,2.49,2.83,2.25,4.01,2.81,1.07,1.83,0.46,,,,,
August,,,,,2.3,,1.22,,2.2,1.07,2.62,3.43,3.76,0.45,1.96,1.44,,,,,
September,,,,,3.13,,2.19,,0.8,0.26,3.66,2.75,1.64,2.53,1.73,3.41,,,,,
October,,,,,3.64,,2.38,,3.16,3.24,1.29,0.56,4.6,1.82,1.37,2.85,,,,,
November,,,,,2.94,,4.5,,2.48,5.01,3.23,2.79,1.65,1.12,1.76,3.42,,,,,
December,,,,,2.59,,0.4,,2.69,5.04,2.32,,0.43,0.42,3.76,2.61,,,,,
Total,,,,,31.48,,,,25.22,23.74,25.66,,25.21,18.41,20.24,28.46,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1926 Jan Jun estimated,,,,,,,,,,,,,,,,,,,,,
1931 Apr May Dec estimated,,,,,,,,,,,,,,,,,,,,,
