STEEPLE-ASTON-THE-GRANGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP473261,Long,-1.313478,Lat,51.93141,Elevation,400,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,3,2.25,3.59,2.67,0.61,0.65,2.15,2.05,0.72,2.18,1.95,2.96,0.83,1.84,0.7,2.47,3.49,1.02,0.58,2.57,3.11,0.9,4.33,0.99,1.35,1.07,2.09,1.16,4.31,4.21,0.66,2.56,1.58,1.47,2.92,3.49,2.77,2.37,3.07,1.75,3.1,1.58,3.93,2.49,3.86,1.39,3.68,1.72,1.83,1.94,1.94,0.47,3.95,3.61,3.14,4.94,2.61,3.13,3.21,4.22,1.81,1.71,1.86,1.93,,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,1.2,3.39,0.84,0.95,2.82,2.17,0.68,0.02,0.68,2.68,1.83,0.17,0.43,2.76,1.44,2.69,4.3,1.3,1.69,1.08,3.99,0.55,1.92,1.46,0.74,0.55,3.64,1.59,2.77,1.26,2.36,4.06,4.79,1.5,1.43,2.94,0.8,0.44,3.31,5,0.41,3.23,2.19,3.3,2,0.58,0.57,2.11,0.16,2.94,0.33,2.28,1.98,4.09,0.81,0.92,2.29,2.71,0.7,0.91,1.13,1.98,2.19,1.72,,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,1.61,1.71,1.15,2.44,1.54,2.96,2.65,1.05,1.24,0.68,0.21,1.78,2.21,2.3,3.5,0.78,0.51,0.58,1.68,1.63,3.35,1.35,2.69,1.25,1.01,2.65,2.81,0.69,1.95,3.63,3.35,3.79,1.13,5.41,2.5,0.79,4.41,2.17,1.16,2.02,1.92,1.04,0.49,0.53,2.83,2.21,0.06,1.68,0.09,1.7,3.31,1.96,0.51,2.15,3.23,0.19,1.94,2.3,2.66,2.08,0.8,0.14,0.97,0.84,5.74,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,1.09,1.55,2.22,1.83,1.08,1.89,2.75,1.38,0.69,0.81,0.22,2.29,1.75,0.79,1.65,1.74,2.02,0.86,2.17,1.53,2.39,1.04,1.76,0.56,2.71,3.65,1.69,2.32,0.88,0.06,4.47,1.23,0.97,1.56,1.32,3.01,2.36,5.52,1.27,3.47,2.44,2.92,2.2,3.12,1.35,0.95,1.63,2.38,3.49,2.31,1.35,1.83,3.82,1.21,2.78,0.03,3.39,2.09,1.47,1.24,0.58,2.26,,1.43,2.03,,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,1.46,1.03,2.2,5.7,1.84,1.5,4.13,1.47,3.83,1.21,1.51,2.16,0.33,0.24,1.1,3.41,1.41,1.65,1.48,1.81,5.98,2.93,0.87,1.95,2.79,1.81,2.03,2.06,1.35,2.43,2.49,1.39,2.44,1.86,2.43,2.6,0.69,2.5,1.72,1.15,1.4,6.67,3.37,2.74,1.25,0.41,1.95,1.52,3.13,5.73,1.7,0.67,1.91,1.09,2.67,1.89,1.2,1.97,1.59,4.08,2.7,0.85,,3.44,1.39,,10.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,3.85,1.79,2.15,0.97,1.92,2.73,1.48,2,1.46,2.53,0.69,2.05,0.75,2.2,2.27,1.19,1,2.14,1.27,1.64,4.57,0.79,3.46,3.28,2.04,2.16,5.33,3.25,1.49,3.06,0.83,2.4,0.62,2.51,1.67,1.29,0.93,2.84,0.41,1.08,0.38,2.41,0.08,3,3.58,1.79,1.16,1.03,3.53,1.1,3.7,1.05,4.39,2.69,1.24,1.13,2.38,0.43,1.77,0.11,1.5,2.99,2.46,2.89,1.18,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,4,2.32,0.19,3.51,1.03,5.22,3.71,3.09,2.31,2.35,4.39,3,3.63,1.27,0.88,1,1.23,2.13,2.2,1.41,3.1,2.52,0.54,1.01,2.22,1.8,2.39,2.11,0.53,3.12,0.82,3.24,5.27,2.31,3.32,3.55,2.34,4.36,0.38,5.79,1.82,3.67,4.52,2.45,3.92,2.35,1.38,3.15,3.14,1.43,1.39,1.37,0.64,5.03,1.8,2.21,3.73,2.79,4.6,1.81,0.59,2.53,1.67,1.3,4.14,,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,0.88,1.87,1.9,1.43,1.29,2.18,2.92,2.13,4.33,2.77,1.6,2.62,2.14,1.79,4.1,1.56,1.07,3.78,2.52,2.77,3.41,1.55,3.81,0.86,2.46,3.41,2.94,2.84,1.81,6.73,0.81,1.9,1.67,3.77,4.06,1.87,2.52,1.48,1.88,5.32,2.29,2.24,2.69,1.17,3.89,2.3,1.39,2.29,2.45,2.08,0.51,1.8,1.7,0.83,1.02,2.28,2.68,0.04,4.38,3.56,1.97,1.69,1.88,3.75,0.64,,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,4.68,1.41,4.13,2.47,3.2,0.93,2.06,1.52,0.99,2.75,0.92,2.97,0.97,5.09,2.08,1.01,2.83,0.55,1.33,1.95,2.2,1.92,0.99,1.03,0.73,1.41,4.12,0.31,1.51,1.34,3.25,1.55,2.41,1.26,1.97,6.01,1.86,1.72,1.66,1.97,3.17,4.12,3.72,1.29,5.42,0.85,0.29,3.5,2.39,3.01,2.01,2.75,4.95,4.39,2.58,2.88,0.59,0.87,0.53,1.39,1.95,3.01,2.47,3.55,1.63,,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,2.45,0.93,4.02,4.84,2.28,0.7,3.34,1.25,6.02,3.19,2.4,3.39,3.37,2.92,1.73,4.19,3.21,2.15,1.31,1.79,7.24,0.74,1.31,5.21,5.65,0.94,4.1,2.64,2.56,3.02,3.94,2.44,2.83,3.88,3.73,1.79,1.99,1.99,1.32,0.74,4.13,3.91,3.01,2.44,1.98,3.91,3.74,1.47,0.77,3.84,1.75,1.54,3.95,1.54,3.07,3.68,6.19,3.19,1.54,3.3,2.29,3.79,2.72,0.79,0.68,,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
