WHITCHURCH-ASHBROOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX496728,Long,-4.12309,Lat,50.5356,Elevation,400,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,,,6.4,1.8,5.01,9.8,1.84,5.12,3.47,2.61,5.29,7.5,8.76,5.87,7.27,3.64,6.21,,,,,,
February,,,,,,,,,,,6.71,2.96,5.76,2.2,7.19,11.26,7.37,1.43,3.98,5.19,1.22,0.42,5.19,11.92,2.25,,,,,,
March,,,,,,,,,,,1.25,3.35,8.71,5.29,9.31,1.08,3.28,3.86,2.75,6.88,5.67,4.07,4.71,2.91,2.96,,,,,,
April,,,,,,,,,,,3.15,2.92,0.28,5.84,2.4,1.79,1.91,2.38,1.67,3.6,5.78,1.05,4.62,3.96,5.27,,,,,,
May,,,,,,,,,,,2.86,1.69,2.18,5.02,2.62,3.19,1.44,2.53,2.58,2.12,2.69,3,1.82,2.83,4.85,,,,,,
June,,,,,,,,,,2.78,1.86,3.09,7.56,1.73,2.69,2.35,2.85,3.52,2.32,1,2.59,0.1,1.5,0.84,3.23,,,,,,
July,,,,,,,,,,4.26,4.13,1.18,3.49,0.27,6.61,5.94,1.73,2.49,4.62,2.05,7.07,1.63,5.41,1.38,5.56,,,,,,
August,,,,,,,,,,2.53,6.95,3.89,12.19,1.54,4.33,2.69,5.26,7.71,2.98,4.07,2.29,3.06,5.15,4.56,6.13,,,,,,
September,,,,,,,,,,1.63,0.34,2.71,1.71,3.32,2.83,1.61,2.46,2.57,9.87,3.18,3.86,1.24,3.67,4.48,6.5,,,,,,
October,,,,,,,,,,9.51,6.68,4.83,5.92,6.07,3.32,4.38,9.53,7.22,3.88,2.64,5.75,1.58,2.36,8.23,7.48,,,,,,
November,,,,,,,,,,1.72,6.93,6.65,3.64,7.02,6,4.03,8.16,3.05,5.01,4.82,3.23,5.27,3.51,4.06,4.82,,,,,,
December,,,,,,,,,,6.44,9.21,13.41,7.9,3.66,11.93,12.34,3.85,1.83,9.7,9.71,6.41,3.16,8.16,6.49,7.61,,,,,,
Total,,,,,,,,,,,56.47,48.48,64.35,51.76,61.07,55.78,51.31,41.2,54.65,52.76,55.32,30.45,53.37,55.3,62.87,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown where this gauge was,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
It could have been near Ash at 400ft near a stream 0.5 mile  S of church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
As the observer was a reverend it could have been at the rectory alt 400ft 0.25 miles N of church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whitchurch Down station has not been found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
So only direction is church was 0.25 mile W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
So given NGR is at house 0.25 mile E of church at correct altitude near stream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual values rejected from survey map 1929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
