THORNTON LE DALE - BECKSIDE,,,,,,,,,,,,
Grid ref,SE837832,Long,-0.717,Lat,54.238,Elevation,150,ft,,,,
Station no,RR4577,,,,,,,,,,,
,,,,,,,,,,,,
,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916
January,,2.92,1.37,2.02,0.90,3.25,2.05,3.49,3.70,1.71,3.58,0.60
February,,1.98,1.13,2.28,1.83,2.52,1.08,1.28,0.82,1.42,3.44,3.81
March,,2.31,1.18,2.93,5.09,0.74,2.55,3.16,1.80,1.93,1.17,4.08
April,,1.08,1.69,2.68,3.48,2.12,1.05,0.19,2.52,0.75,0.99,1.31
May,,1.78,3.16,2.03,1.63,3.64,1.01,2.23,1.96,1.68,1.53,2.91
June,,0.85,2.22,0.54,2.64,2.57,4.17,6.05,1.76,2.65,0.25,4.25
July,,1.20,1.07,2.07,2.74,2.69,1.82,4.08,0.33,5.11,5.43,2.01
August,3.51,2.80,1.76,1.92,4.93,3.32,2.67,5.11,1.09,1.37,2.85,3.34
September,2.02,0.65,0.58,2.01,1.64,0.80,2.57,1.95,0.68,2.31,1.63,1.13
October,2.64,4.53,4.17,1.27,2.86,2.81,2.83,3.05,3.12,2.75,1.04,3.26
November,5.36,4.51,2.39,1.59,1.18,3.58,4.81,3.67,2.10,3.21,3.20,3.80
December,0.45,2.81,3.60,2.23,4.94,2.30,4.00,1.31,1.82,5.12,4.39,2.84
Total,,27.42,24.32,23.57,33.86,30.34,30.61,35.57,21.70,30.01,29.50,33.34
,,,,,,,,,,,,
TYRain_1900-1909_22_pt1/075,,,,,,,,,,,,
TYRain_1910-1919_21_pt1/019,,,,,,,,,,,,
,,,,,,,,,,,,
# Location seems likely to be Brook House on Priestman's Lane.,,,,,,,,,,,,
# The gauge may have moved to a nearby location in the village in 1912.,,,,,,,,,,,,
