INVERGORDON STATION,,,,,,,,,,
Grid ref,NH 70442 68664,Long,-4.174865,Lat,57.689086,Elevation ,18,ft,,
Station no,RR8775,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,2.01,1.65,2.28,4.17,1.54,3.75,1.65,
February,,,1.14,0.45,0.16,0.33,3.09,3.46,0.84,
March,,,1.06,0.53,1.6,1.23,3.2,2.4,1.78,
April,,,1.26,0.85,1.09,1.44,2.96,2.34,,
May,,,2.27,3.51,1.85,0.88,1.95,2.69,,
June,,,5.6,1.48,0.46,1.76,2.17,2.61,,
July,,,2.86,3.1,1.43,3.2,2.85,1.05,,
August,,,2.35,2.6,6.09,1.59,1.16,5.48,,
September,,,4.18,4.26,2.48,2.35,3.85,3.35,,
October,,,3.49,2.87,3.18,2.17,3.04,3.58,,
November,,,4.37,3.6,1.11,2.9,3.78,3.1,,
December,,,1.9,2.83,1.45,1.07,5.57,3.8,,
Total,,,32.49,27.73,23.18,23.09,35.16,37.61,,
,,,,,,,,,,
1873 May corrected,,,,,,,,,,
1876 Dec Computed,,,,,,,,,,
,,,,,,,,,,
Station no,RR8775,,,,,,,,,
Midas,,,,,,,,,,
Hyd Stn,,,,,,,,,,
