DEVORAN-DEVORAN-HOUSE-(MID-DEVORAN-FARM),,,,,,,,,,,,,,,,,,,,,
Grid ref,SW794396,Long,-5.09272,Lat,50.21531,Elevation,120,ft,,,,,,,,,,,,,
Station no,1917/2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,5.5,3.3,5.77,4.85,6.88,7.35,7.5,4.5,8.1,4.3,4.65,3.3,3.9,,,,,,
February,,,4.3,8.85,2.45,6.45,3.04,2.6,4.2,3.38,2.6,-999,0.04,3.7,0.5,,,,,,
March,,,3.6,2.4,3.1,0.98,0.85,4.3,7.2,0.53,3.35,-999,2.8,3.7,4.4,,,,,,
April,,,4.78,4.04,3.42,3.1,2.33,1.93,2.7,1.37,3.3,1.6,2.5,2,3.4,,,,,,
May,,,1.05,3.45,3.1,4.5,2.02,0.7,1.8,3.8,2.4,2.4,,2.7,1.55,,,,,,
June,,,1.06,0.31,1.6,0,3.2,2.5,,2.37,0.85,2.6,3.1,,1.35,,,,,,
July,,,,0.66,5.4,3.8,1.6,2.97,1.45,1.65,2.4,5,3.7,2.38,,,,,,,
August,,,,2.35,2.07,3,1.08,4.12,2.35,2.2,5.55,5.25,1.2,1.55,4.25,,,,,,
September,,,3.08,2.27,4.7,3.55,0.75,5.9,1.8,0.47,5.2,2.65,4.15,2.2,3.5,,,,,,
October,,,1.8,6.45,9.53,-999,2.97,2.5,7.75,8.7,5.25,0.9,8.3,7.45,,,,,,,
November,,,2.58,4.8,4.15,-999,7.69,4.25,4.15,12.25,7.35,8.8,2.8,,,,,,,,
December,,,,4.5,8.2,6.05,0.9,4.6,5.95,9.1,4.4,1.6,4,,,,,,,,
Total,,,,43.38,53.49,44.98,33.31,43.72,,50.32,50.75,44.6,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Mid Devoran Farm,,,,,,,,,,,,,,,,,,,,,
A large farm most of which is much higher than given elevation,,,,,,,,,,,,,,,,,,,,,
1925 Oct Nov Apportioned Combined value 8.7,,,,,,,,,,,,,,,,,,,,,
1928 June Estimated,,,,,,,,,,,,,,,,,,,,,
1931 Feb Mar Apportioned Combined value 9.50,,,,,,,,,,,,,,,,,,,,,
1932 May Gauge tampered with,,,,,,,,,,,,,,,,,,,,,
1933 June Nov Dec Estimated,,,,,,,,,,,,,,,,,,,,,
