DEVORAN-DEVORAN-HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SW793392,Long,-5.09393,Lat,50.21162,Elevation,50,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1917/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,4.9,3.48,3.97,1.74,7.88,7.53,6.2,8.43,3.97,5.17,5.63,7.91,4,3.88,5.95,5.76,9.17,1.46,2.39,4.86,5.8,1,,,,,,,
February,,0.04,3.73,0.4,4.31,7.73,8.27,2.09,2.37,6.12,7.16,0.4,2.45,0.98,3.72,3.93,2.51,1.49,1.91,8.59,4.74,1.36,1.87,,,,,,,
March,,2.88,4.13,4.71,1.06,4.71,5.81,0.28,2.16,3.32,3.79,3.72,0.77,0.59,1.07,2.58,11.65,2.15,1.56,2.71,6.05,3.97,1.01,,,,,,,
April,,2.67,2,3.56,5.15,3.01,3.79,0.02,3.76,3.39,1.77,2.96,2.18,2.38,1.22,1.51,3.37,2.92,1.54,2.51,2.92,4.04,,,,,,,,
May,,4.89,2.7,1.83,1.87,1.46,2.21,3.42,1.38,0.95,3.68,6.61,4.62,0.55,3.67,4.71,3.85,2.22,2.87,2.27,3.46,1.77,4,,,,,,,
June,,3.28,2.13,1.85,3.32,2.31,1.69,2.02,2.42,1.85,2.71,0.64,1.08,2.77,4.16,3.05,3.61,2.39,0.75,1.2,0.64,1.24,2.37,,,,,,,
July,,3.7,2.46,0.66,0.36,7,1.1,3.58,5.91,2.28,0.75,2.97,2.55,3.37,4.76,2.03,2.09,1.58,1.83,3.41,0.88,1.55,3.31,,,,,,,
August,,1.24,1.52,3.8,4.14,0.39,0.76,3.68,2.21,0.25,5.3,3.1,2.71,2.54,3.09,5.57,1.26,4.55,1.41,6.81,4.55,4.27,,,,,,,,
September,,4.9,2.29,3.84,3.71,3.03,3.54,1.88,0.76,2.69,1.23,2.92,4.57,2.15,2.01,7.4,1.7,1.77,3.27,5.77,4.64,5.49,,,,,,,,
October,,8.61,7.73,4.1,5.52,1.27,3.98,4.3,4.71,4.58,1.6,2.58,3.74,5.41,4.16,4.55,2.32,6.15,7.96,2.16,2.05,6.21,,,,,,,,
November,,3.03,2.26,2.3,6.81,5.47,2.27,7.91,7.41,8.7,3.75,1.12,3.3,9.57,2.39,7.04,3.95,2.54,5.1,8.75,6.99,6.02,,,,,,,,
December,,4.15,2.91,11.77,5.91,5.48,5.28,5.28,3.63,5.43,3.09,5.73,3.47,4.03,7.75,6.42,3.75,7.07,2.32,5.48,4.95,4.08,,,,,,,,
Total,,44.29,37.34,42.79,43.9,49.74,46.23,40.66,45.15,43.53,40,38.38,39.35,38.34,41.88,54.74,45.82,44,31.98,52.05,46.73,45.8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Observer previously at Halesowen Worcs 1918-22 and Bolventor Cornwall 1923-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953 Observer over 90 Assumed terminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
