CASTLE TOWNSHEND GLEN BARRAHANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IW1847030985,Long,-9.1756104,Lat,51.525947,Elevation,25,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,6004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,2.92,3.91,3.99,2.41,0.96,2.2,2.69,4.93,3.02,3.38,1.96,5.55,5.81,2.31,6.19,1.91,3.54,2.75,5.61,1.2,4.79,8.21,,,3.86,,3.34,3.71,7.61,3.86,6.35,2.98,5.59,5.15,7.65,4.88,7.6,2.33,7.97,2.62,6.94,4.96,4.43,0.56,7.18,9.73,5.7,5.99,4.62
February,,,3.53,4.9,2.36,1.9,1.26,2.83,1,3.49,3.74,0.91,2.93,2.43,5.8,1.86,4.21,2.13,2.48,1.87,8.28,3.57,4.32,3.65,,,5.37,,4.09,4.41,1.67,1.19,6,10.61,1.78,4.97,5.39,2.34,5.24,6.42,1.6,3.34,0.48,2.36,0.17,4.74,4.56,6.16,2.24,4.45,6.14
March,,,1.66,0.77,2.43,2.46,2.65,5.47,0.63,0.75,1.26,2.84,1.41,5.8,3.39,6.75,2.46,1.72,4.1,5.26,4.46,3.89,4.73,6.97,,,3.47,,1.92,3.11,4.63,3.53,3.16,3.85,1.67,0.37,1.63,4.58,5.7,1.03,5.34,6.26,3.11,3.74,5.38,1.37,3.18,4.33,1.56,2.51,3.6
April,,,1.53,1.91,3.42,2,0.42,4.76,2.68,4.87,1.59,3.74,1.78,1.69,2.37,3.43,0.79,5.45,2.23,8.85,2.18,1.76,0.16,6.78,,,2.9,,1.29,1.83,5.99,0.65,3.87,6.69,3.58,5.61,2.25,1.46,3.54,1.4,1.95,1.75,1.89,2.7,2.58,3.46,2.73,4.1,0.04,2.11,3.92
May,,,1.95,1.13,0.92,1.13,0.01,1.2,2.84,3.42,1.64,1.79,1.28,3.02,2.58,1.51,5.52,2.88,2.21,2.28,2.1,2.22,2.47,5.7,,4.11,3.17,,1.52,2.62,5.03,2.01,2.63,0.81,2.84,4.58,3.91,2.31,2.09,3.12,2.46,3.08,4.97,3.68,3.25,0.71,1.33,2.09,4.22,0.84,1.44
June,,,2.69,1.18,2.25,0.91,3.16,4.19,1.48,0.97,2.82,1.97,2.72,4.27,1.7,4.61,1.49,3.99,0.91,1.58,4.17,1.55,4.89,6.01,,4.19,2.7,,0.96,0.63,3.22,0,0.9,0.26,5.02,0.44,3.43,2.48,6.23,2.42,3.05,3.72,1.58,0.8,2.58,4.78,1.76,1.05,2.7,1.88,0.82
July,,,3.81,2.54,2.85,4.43,3.71,1.59,1.11,0.32,0.85,1.17,2.18,4.05,4.84,2.78,2.94,1.95,4.27,4.01,1.91,2.32,3.5,0.43,,7.77,1.09,,3.06,1.02,4.11,3.44,3.67,2.58,5.87,3.45,1.95,2.94,1.98,3.97,2.54,3.67,2.35,3.07,2.21,0.73,3.63,5.89,4.88,4.04,1.11
August,,,6.88,6.66,2.77,3.92,0.72,3.24,4.82,1.8,2.8,2.1,3.42,4.7,4.1,5.72,2.82,4.04,4.87,0.14,4.3,1.95,3.88,2.26,,2.51,3.05,,1.49,4.21,2.59,5.29,5.71,7.78,3.7,4.39,2.6,4.76,3.87,2.96,4.44,2.28,1.75,1.53,2.41,3.36,1.44,2.86,4.27,1.67,0.13
September,,,3.47,3.07,1.63,1.3,5.45,2.77,2.53,1.14,1.17,4.85,1.25,3.06,3.79,2.82,1.17,1.75,6.9,1.11,1.9,4.34,1.35,5.96,,4.98,0.89,,7.38,2.66,3.28,2.23,3.15,3.97,6.4,2.91,0.81,3.91,1.93,0.87,3.81,1.39,3.15,1.47,6,8.82,2.99,3.58,3.03,1.04,2.08
October,,,1.37,2.41,6.53,4.24,2.76,3.07,6.64,1.07,3.6,1.35,1.54,7.06,5.25,0.93,4.68,5.31,2.34,11.76,3.43,4.02,6.82,6.91,,,8.2,,3.25,0.46,3.54,3.39,2.34,5.44,5.37,4.55,3.97,4.49,7.19,4.33,6.31,1.5,4.66,2.13,3.92,3.25,2.92,2.56,7.68,4.95,7.68
November,,,5.35,2.02,5.49,6.3,0.62,5.19,2.55,0.93,4.87,0.75,5.76,2.71,3.02,2.76,3.79,2.18,2.62,1.77,5.66,6.08,4.83,8.19,,5.51,,,3.55,2.97,5.23,3.69,2.3,4.88,3.98,2.63,5.39,3.68,6.51,9.35,5.57,9.4,2.75,2.65,2.74,5.68,5.01,2.75,6.27,11.59,6.83
December,,,4.12,4.79,3.33,7.06,5.83,3.11,1.88,9.09,6.01,4.81,2.92,4.62,4.34,2.47,2.6,7.07,7.32,10.28,4.72,6.6,9.86,3.86,,10.31,,,5.62,6.94,5.94,3.3,4.62,3.44,7.31,4.84,0.49,5.83,6.66,11.48,4.5,2.69,7.75,1.8,8.66,4.4,4.67,3.34,3.46,4.34,5.9
Total,,,39.28,35.29,37.97,38.06,27.55,39.62,30.85,32.78,33.37,29.66,29.15,48.96,46.99,37.95,38.66,40.38,43.79,51.66,48.72,39.5,51.6,64.93,,,,,37.47,34.57,52.84,32.58,44.7,53.29,53.11,43.89,39.47,43.66,58.54,49.68,49.54,41.7,41.38,30.89,44.33,41.86,41.4,48.44,46.05,45.41,44.27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940 Nov mistranscription,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sept 1919 gauge moved 100ft north raising elevation to 100',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
