COVENTRY HOLYHEAD ROAD,,,,,,,,,,,,,,,,,,,,
Grid ref,SP324793,Long,-1.525111,Lat,52.410749,Elevation,300,ft,,,,,,,,,,,,
Station no,RR4690,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,0.85,3.35,0.98,0.65,1.16,2.15,0.88,4.22,3.94,1.08,2.58,1.42,2.12,,
February,,,,,,0.77,2.25,0.91,0.85,0.76,2.6,1.56,1.56,0.85,1.58,3.27,3.72,1.26,,
March,,,,,,2.78,1.07,0.96,2.35,2.67,0.72,1.82,3.08,3.73,2.61,0.92,3.78,1.32,,
April,,,,,,1.35,0.42,1.76,3.15,1.27,1.66,0.93,0.35,3.89,1.47,0.79,0.9,1.55,,
May,,,,,,0.23,2.2,4.8,1.95,1.45,2.08,0.94,3.38,2.35,1.45,2.21,2.37,3.03,,
June,,,,,,3.28,3.47,2.62,1.55,2.88,1.22,1.87,4.74,0.8,2.38,0.49,1.45,3.63,,
July,,,,,,0.99,0.92,2.79,2.36,3.27,2.36,0.2,3.53,0.93,2.62,6.82,1.77,1.97,,
August,,,,,,4.05,0.95,2.66,2.96,1.71,4.04,1.54,6.08,0.45,1.59,1.96,3.66,4.81,,
September,,,,,,1.74,0.9,0.69,1.37,2.09,0.76,1.68,0.88,1.52,0.7,0.87,0.69,1.78,,
October,,,,,,0.99,4.96,4.71,1.09,3.36,2.4,2.41,2.65,3.18,2.07,2.03,2.53,,,
November,,,,,,2.92,2.97,2.1,1.08,0.59,4.06,2.4,2.02,3,3.14,2.67,3.28,,,
December,,,,,,0.76,1.79,3.43,2.11,3.31,3.95,4.53,3.76,1.25,5.85,4.92,2.81,,,
Total,,,,,,20.71,25.25,28.41,21.47,24.52,28,20.76,36.25,25.89,26.54,29.53,28.38,,,
