CONNEL (ALLTNACREE),,,,,,,,,,,,
Grid ref,NM933360,Long,-5.357347,Lat,56.470646,,,,,,,
Station no,5405/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,7.35,3.25,4.65,9.93,6.38,1.93,4.07,,
February,,,,4.34,3.22,3.16,4.09,3.31,2.62,4.31,,
March,,,,3.76,1.30,2.74,6.89,1.03,4.35,2.49,,
April,,,,2.33,4.57,2.49,2.99,3.14,4.44,4.47,,
May,,,,3.96,2.47,4.47,2.04,4.23,1.82,2.72,,
June,,,0.56,4.47,3.35,3.25,3.94,2.19,3.06,3.70,,
July,,,6.24,3.74,0.94,6.31,5.32,3.44,6.92,3.55,,
August,,,5.17,4.84,1.50,5.02,4.93,7.29,2.86,4.62,,
September,,,7.75,8.11,7.15,4.79,4.42,3.98,2.78,3.58,,
October,,,4.09,11.56,5.63,5.02,9.11,8.21,7.06,1.99,,
November,,,11.00,8.72,2.48,4.84,2.77,2.11,7.44,6.25,,
December,,,6.79,9.39,8.58,9.29,6.77,5.40,7.48,8.17,,
Total,,,,72.57,44.44,56.03,63.20,50.71,52.76,49.92,,
Calc annual,0.00,0.00,41.60,72.57,44.44,56.03,63.20,50.71,52.76,49.92,,
Difference,NaN,NaN,NaN,-0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,,
