"POULTON-LE-FYLDE, SINGLETON PARK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD380390,Long,-2.943787,Lat,53.843526,Elevation,50,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,4.56,1.77,2.52,1.86,4.29,1.34,3.5,3.86,2.79,5.9,2.97,2.83,3.63,5.19,4.2,7.95,4.39,,,,,,,,
February,,,,,,,3.32,1.94,2.14,1.05,4.28,3.48,1.8,1.41,3.32,4.5,3.87,1.55,4.52,1.59,2.96,0.45,5.61,,,,,,,,
March,,,,,,,3.07,3.35,2.22,2.57,1.17,1.28,5.39,4.05,4.4,1.73,2.2,3.16,1.91,6.27,5.09,3.8,2.67,,,,,,,,
April,,,,,,,1.32,1.96,2.68,3.06,2.4,2.73,0.48,4.67,1.03,2.98,3.03,1.65,1.4,2.03,5.07,2.56,2.41,,,,,,,,
May,,,,,,,4.09,3.47,2.71,1.85,2.29,1.69,2.27,2.26,2.48,1.45,3.91,3.25,3.07,1.96,5.7,2.27,2.9,,,,,,,,
June,,,,,,,1.65,6.88,2.34,2.35,2.87,3.04,5.26,2.1,1.19,1.21,2.36,2.96,1.88,1.85,2.7,0.85,2.88,,,,,,,,
July,,,,,,,2.02,2.15,3.74,5.96,4.6,0.48,4.24,1.54,5.05,4.33,2.02,1.48,4.74,1.97,6.25,1.92,6.41,,,,,,,,
August,,,,,,,3.94,4.56,3.91,3.21,4.77,4.06,5.13,1.43,2.32,4.9,3.62,7.65,4.49,5.26,1.79,7.09,6.58,,,,,,,,
September,,,,,,,0.93,0.82,4.48,3.07,0.41,4.09,1.65,4.41,3.33,0.69,3.19,3.86,12.1,2.9,4.16,2.26,5.42,,,,,,,,
October,,,,,,,5.96,4.39,2.23,5.91,3.12,2.97,5.02,3.15,2.39,2.18,6.51,7.65,4.39,4.21,2.6,2.79,0.82,,,,,,,,
November,,,,,,,3.33,3.15,3.15,1.64,5.07,3.89,2.7,4.33,5.78,2.16,2.83,4.85,3.05,2.25,2.2,3.36,,,,,,,,,
December,,,,,,,2.77,3.94,2.47,6.55,3.01,5.41,3.47,2.74,6.23,8.84,2.89,1.89,10.69,6.72,3.63,6.91,,,,,,,,,
Total,,,,,,,36.96,38.38,34.59,39.08,38.28,34.46,40.91,35.95,40.31,40.87,39.4,42.78,55.87,42.2,46.35,42.21,,,,,,,,,
