HURLEY-HALL-PLACE-FARM-MAIN-GATE,,,,,,,,,,
Grid ref,SU823829,Long,-0.81473459,Lat,51.539011,Elevation,140,ft.,,
Station no,786/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,3.78,1.95,2.93,2.82,2.74
February,,,,,,0.15,3.5,2.8,0.06,2.38
March,,,,,,0.47,1.51,1.85,2.48,1.13
April,,,,,,1.93,0.23,1.12,2.48,0.64
May,,,,,,0.2,1.32,1.96,0.47,2.1
June,,,,,,2.2,2.1,3.58,0.99,1.7
July,,,,,,2.29,3.32,2.77,3.33,3.17
August,,,,,,4.7,2.51,3.47,1.55,3.22
September,,,,,,3.66,2.82,3.97,0.81,3.55
October,,,,,,1.54,1.94,2.97,3.12,7.22
November,,,,,,0.53,2.27,2.65,2.47,3.78
December,,,,,,3.66,2.19,3.14,4.03,3.33
Total,,,,,,25.11,25.66,33.21,24.61,34.96
,,,,,,,,,,
MIDAS src_id 836 HURLEY: RESEARCH INSTITUTE start Jan 1952 end Dec 1992. Note start date does not agree,,,,,,,,,,
"NGR is from 1950s record and is the entrance to the Grassland Research Inst. Altitudes match. Gauge moved here in Nov 1955, but Nov and Dec readings are estimated and removed",,,,,,,,,,
