WINCHESTER (RECREATION GROUND),,,,,,,,,,,,
Grid ref,SU484300,Long,-1.310636,Lat,51.067300,,,,,,,
Station no,721/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.56,2.44,0.90,2.47,2.87,5.38,2.64,3.84,3.74,4.43,,
February,6.39,0.71,2.03,3.59,1.63,0.26,4.32,2.77,0.10,2.98,,
March,4.50,3.57,0.65,3.49,1.26,0.90,2.37,1.92,4.05,1.57,,
April,2.78,1.78,2.40,0.45,0.48,1.24,0.14,0.61,3.40,1.22,,
May,2.88,2.98,2.32,1.69,4.73,0.44,1.51,2.09,0.49,1.06,,
June,1.20,1.35,1.91,3.46,2.84,2.01,1.52,3.59,0.92,3.11,,
July,1.86,0.27,3.39,3.13,0.44,3.17,4.85,2.32,2.14,5.05,,
August,4.65,3.90,2.31,3.63,0.28,3.69,3.76,3.82,2.15,4.86,,
September,4.30,2.53,2.65,3.13,2.57,4.20,3.32,5.37,0.08,4.50,,
October,0.63,4.52,4.57,3.44,5.62,3.08,2.58,3.08,3.06,9.20,,
November,8.51,3.71,1.34,6.28,2.68,0.78,2.94,2.76,4.17,5.35,,
December,2.92,2.68,0.83,3.28,4.28,5.72,2.95,4.26,7.81,4.56,,
Total,44.18,30.44,25.30,38.04,29.68,30.87,32.90,36.43,32.11,47.89,,
Calc annual,44.18,30.44,25.30,38.04,29.68,30.87,32.90,36.43,32.11,47.89,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
