"BEVERLEY (GAS WORKS)",,,,,,,,,,,,
Grid ref,TA046390,Long,-0.411942,Lat,53.836733,,,,,,,
Station no,3398/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.90,,,,,,,,,,,
February,2.75,,,,,,,,,,,
March,2.87,,,,,,,,,,,
April,1.28,,,,,,,,,,,
May,4.35,,,,,,,,,,,
June,1.37,,,,,,,,,,,
July,1.43,,,,,,,,,,,
August,5.23,,,,,,,,,,,
September,1.34,,,,,,,,,,,
October,0.92,,,,,,,,,,,
November,3.73,,,,,,,,,,,
December,1.87,,,,,,,,,,,
Total,29.04,,,,,,,,,,,
Calc annual,29.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
