BEVERLEY - GAS WORKS,,,,,,,,,,,,,,,,,
Grid ref,TA046390,Long,-0.412,Lat,53.837,Elevation,21,ft,,,,,,,,,
Station no,3398/2,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951
January,,3.88,3.58,2.27,4.07,1.85,2.78,3.16,3.78,2.13,4.07,2.46,2.53,4.79,0.88,1.09,1.90
February,,2.76,2.77,0.96,1.17,1.75,3.01,1.50,0.36,2.06,2.07,2.30,1.91,1.14,0.72,3.70,2.75
March,,1.13,2.62,0.14,2.45,1.62,2.79,1.02,0.43,0.44,0.54,1.43,4.37,0.75,1.14,1.43,2.87
April,2.11,2.02,3.45,0.22,1.28,1.64,1.41,1.33,1.03,2.89,1.78,1.17,1.45,2.16,1.87,2.92,1.28
May,0.33,1.58,3.56,3.35,2.07,0.97,1.18,3.28,2.97,1.74,1.21,1.94,0.63,1.86,1.32,2.52,4.35
June,3.30,3.41,1.41,2.14,3.07,0.71,0.31,1.30,1.53,1.83,2.61,2.16,2.46,5.01,0.54,0.84,1.37
July,0.29,3.63,2.30,3.68,2.49,7.13,3.89,2.04,1.10,3.12,1.43,2.51,1.01,0.97,2.14,2.94,1.43
August,1.84,1.97,0.98,2.69,1.90,0.92,2.84,1.49,2.62,4.28,2.66,5.97,0.56,3.56,2.06,3.20,5.23
September,4.14,2.22,1.18,1.72,0.93,1.14,0.91,2.59,4.87,3.81,1.25,4.44,1.06,1.68,1.17,3.13,1.34
October,4.21,1.92,2.52,3.42,3.45,3.33,2.76,1.62,1.30,2.38,2.94,1.58,0.68,1.91,3.35,1.32,0.92
November,4.17,3.12,2.79,2.80,3.66,4.31,2.69,1.15,2.18,3.94,0.88,5.83,1.94,0.97,4.35,4.19,3.73
December,2.53,1.47,5.64,3.92,2.03,2.07,0.52,2.25,1.27,1.51,1.30,2.71,1.71,2.41,2.33,2.87,1.87
Total,,29.11,32.80,27.31,28.57,27.44,25.09,22.73,23.44,30.13,22.74,34.50,20.31,27.21,21.87,30.15,29.04
,,,,,,,,,,,,,,,,,
TYRain_1931-1940_19_pt1/258,,,,,,,,,,,,,,,,,
TYRain_1941-1950_22_pt1/112,,,,,,,,,,,,,,,,,
TYRain_1951-1960_20_pt1/197,,,,,,,,,,,,,,,,,
