SHREWSBURY-ONSLOW-HALL-MONTHLY,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ434129,Long,-2.83922,Lat,52.710788,Elevation,306,ft.,,,,,,,,,,,,
Station no,RR4278,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,2.91,3.57,3.35,1.78,3.05,1.98,0.63,0.38,3.5,,,,,,,,,
February,,,1.87,2.46,2.61,2.42,0.82,1.16,0.48,1.3,0.53,,,,,,,,,
March,,,1.8,1.12,1.76,0.69,2.8,1.58,1.94,2.06,1.12,,,,,,,,,
April,,,2.26,0.89,1.2,2.39,0.94,1.36,1.46,4.2,0.86,,,,,,,,,
May,,,2.1,1.76,0.76,1.79,7.49,1.8,0.66,3.08,2.18,,,,,,,,,
June,,,2.91,2.1,2.54,3.79,2.41,1.36,2.3,0.36,1.31,,,,,,,,,
July,,,3.28,1.47,2.28,0.4,2.16,0.98,3.95,2.12,1.57,,,,,,,,,
August,,,1.74,1.24,0.89,3.11,0.78,2.04,2.69,3.18,3.29,,,,,,,,,
September,,,2.34,5.53,2.56,2.68,2.16,1.91,0.46,1.61,0.36,,,,,,,,,
October,,,4.4,2.95,1.47,5.08,3.91,1.98,1.08,3.1,1.59,,,,,,,,,
November,,,4.16,3.4,1.48,3.26,1.65,1.86,4.8,1.46,3.73,,,,,,,,,
December,,,3.63,1.57,2.21,0.59,3.36,1.6,2.06,1.45,0.85,,,,,,,,,
Total,,,33.4,28.06,23.11,27.98,31.53,19.61,22.51,24.3,20.89,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is taken on west side of house and matches altitude. This second gauge is noted as being 400 yards from other gauge. Position could be +/- 500 yards,,,,,,,,,,,,,,,,,,,,
