SHREWSBURY-ONSLOW-HALL-DAILY,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ438129,Long,-2.8332999,Lat,52.71083,Elevation,301,ft.,,,,,,,,,,,,
Station no,RR4278,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,0.78,0.62,2.84,3.48,3.64,1.99,3.12,2,0.75,0.44,3.51,,,,,,,,,
February,2.28,3.82,2.18,2.51,2.48,2.35,0.77,1.13,0.36,1.31,0.56,,,,,,,,,
March,1.13,2.02,1.53,1.06,2.05,0.78,2.81,1.76,1.98,2.23,1.11,,,,,,,,,
April,1.4,0.58,2.12,0.85,0.93,2.41,0.89,1.27,1.57,4.36,0.88,,,,,,,,,
May,2.69,1.24,1.93,1.72,0.74,1.77,8.25,1.79,0.69,2.85,2.16,,,,,,,,,
June,3.32,1.67,2.95,2.04,2.58,3.84,1.69,1.33,2.36,0.33,1.27,,,,,,,,,
July,6.06,1.53,3.23,1.5,2.34,0.43,2.18,1.02,3.9,2.2,1.63,,,,,,,,,
August,0.9,3.51,1.93,1.31,2.07,3.25,0.88,2.03,2.66,3.1,3.33,,,,,,,,,
September,1.58,2.07,2.4,5.45,1.5,2.86,2.29,1.95,0.42,1.6,0.38,,,,,,,,,
October,6.06,2.52,4.15,2.97,1.49,5.19,4.03,2.04,1.14,3.22,1.66,,,,,,,,,
November,2.18,2.56,4.12,3.99,1.5,2.96,1.69,1.75,4.8,1.45,3.75,,,,,,,,,
December,4.22,2.99,3.66,1,2.11,0.66,3.34,1.63,2.09,1.42,0.83,,,,,,,,,
Total,32.6,25.13,33.04,27.88,23.43,28.49,31.94,19.7,22.72,24.51,21.07,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is taken on east side of house and matches altitude. This second gauge is noted as being 400 yards from other gauge. Position could be +/- 500 yards,,,,,,,,,,,,,,,,,,,,
The readings in the 1880s have been corrected for the wrong day; there is a note on the record to that effect.,,,,,,,,,,,,,,,,,,,,
