"PENRITH",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,,
January,,9.50,8.75,6.48,3.85,,,,,,,
February,,2.12,4.60,1.17,1.64,,,,,,,
March,,3.70,0.15,0.84,0.89,,,,,,,
April,,2.15,0.88,2.23,0.74,,,,,,,
May,,1.05,3.07,0.95,3.04,,,,,,,
June,,2.51,4.16,3.84,5.46,,,,,,,
July,,3.48,2.35,3.48,1.88,,,,,,,
August,,3.17,4.32,2.36,4.31,,,,,,,
September,,3.18,2.49,2.76,1.68,,,,,,,
October,,2.98,3.43,3.81,3.10,,,,,,,
November,,0.97,4.81,1.90,3.43,,,,,,,
December,,1.43,12.11,0.31,4.69,,,,,,,
Total,,36.24,51.12,30.13,34.71,,,,,,,
Calc annual,0.00,36.24,51.12,30.13,34.71,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,0.00,-0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
