"KERNHILL, BANCHORY = PITFODDIL",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,,
January,1.78,3.22,4.20,3.10,1.55,,,,1.18,,,
February,1.31,0.31,2.33,3.88,0.55,,,,0.45,,,
March,0.40,3.72,0.53,2.12,0.20,,,,2.15,,,
April,1.70,1.87,0.60,1.60,3.40,,,,0.90,,,
May,1.58,0.64,1.75,0.25,1.06,,,,1.84,,,
June,0.66,1.68,2.87,1.26,1.55,,,,1.36,,,
July,1.26,2.01,1.65,1.30,0.63,,,,3.66,,,
August,2.57,1.92,2.24,1.20,1.40,,,,2.85,,,
September,1.34,2.24,3.30,1.45,0.55,,,,1.25,,,
October,2.62,1.91,4.31,2.90,2.00,,,,4.85,,,
November,2.29,1.10,3.30,0.87,1.40,,,,3.48,,,
December,4.00,0.54,5.20,1.40,2.16,,,,4.15,,,
Total,21.51,21.16,32.28,21.33,16.45,,,,28.12,,,
Calc annual,21.51,21.16,32.28,21.33,16.45,0.00,0.00,0.00,28.12,0.00,,
Difference,0.00,0.00,0.00,0.00,-0.00,NaN,NaN,NaN,0.00,NaN,,
