PENRITH CREWGARTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY600347,Long,-2.621,Lat,54.7065,Elevation,450,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,1.75,1.44,0.53,2.18,3.12,1.87,1.36,1.97,1.82,0.99,1.75,1.41,1.39,3.45,1.27,4.16,4.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,1.49,2.44,0.36,1.33,1.38,1.11,1.62,0.63,1.09,0.73,0.88,0.66,4.67,1.13,2.53,1.12,2.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,3.19,1.7,2.18,2.22,0.57,1.88,2.09,0.96,3.21,1.77,1.95,0.58,2.71,0.71,0.42,2.77,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,2,1.11,1.52,0.83,0.15,1.38,0.14,3.56,1.13,1.74,2.94,1.48,0.78,1.68,1.47,1.58,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,0.07,1.23,2.63,0.47,2.92,1.51,1.23,2.32,0.23,0.85,1.7,4.41,0.97,1.09,2.55,0.8,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,0.87,2.32,2.36,3.51,1.7,1.62,1.68,1.49,1.67,1.62,2.43,5.13,1.84,4.35,0.57,2.47,2.14,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,1.39,4.12,4.01,3.41,4.23,3.99,3.52,2.89,3.33,3.66,2.11,4.21,1.51,2.25,3.24,4.06,3,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,1.24,2.45,2.31,3.58,3.45,2.58,3.78,2.18,1.31,3.18,6.4,2.82,1.93,2.76,3.05,2.82,2.24,4.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,3.6,2.94,1.43,2.25,3.91,3.37,2.61,1.52,0.49,2.76,2.36,1.62,2.18,1.78,3.38,1.16,3.76,2.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,3.15,2.17,3.28,3.03,1.35,1.08,4.46,2.82,2.99,1.54,3.79,4.71,2.47,2.65,2.92,3.48,2.38,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,2.63,3.39,2.58,2.86,1.55,3.1,2.74,1.77,3.16,1.83,2.39,2.99,3.53,1.66,2.31,2.79,0.58,2.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,0.86,2.26,3.05,0.86,1.81,0.62,2.3,1.25,0.83,0.16,2.92,1.08,3.35,2.48,1.76,1.51,1.13,7.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
