BEAMINSTER-CHEDINGTON,,,,,,,,,,,,,,,,,,,,
Grid ref,ST489056,Long,-2.72672,Lat,50.84793,Elevation,604,ft,,,,,,,,,,,,
Station no,RR4772,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,5.34,4.62,4.45,4.02,4,1.7,1,5.75,4.47,2.91,3.92,5.61,5.34,1.69,3.02,0.94,
February,,,,6.23,3.38,6.23,1.18,1.08,1.02,2.07,1.33,0,1.74,6.01,3.61,0.09,0.87,4.76,2.93,
March,,,,1.61,4.65,1.84,4.82,2.72,4.28,3.14,1.71,3.08,1.1,0.62,2.18,3.7,4.63,5.47,1.43,
April,,,,1.39,3.05,4.43,3,1.32,2.54,3.3,4.51,1.07,0.89,0.08,3.33,4,0.76,4.07,,
May,,,,1.94,1.23,4.62,3.45,2.48,2.97,2.2,2.24,4.23,0.71,1.31,3.64,0.51,0.08,1.85,,
June,,,,5.29,2.71,1.5,0.7,0.67,3.89,1.39,3.78,2.55,2.14,0.82,3.13,1.47,3.1,3.04,,
July,,,,3.48,5.32,0.34,3.46,1.65,6.35,3.34,4.74,4.24,2.51,5.68,5.41,3.5,1.86,0.63,,
August,,,,1.2,2.16,1.74,2.06,2.9,2.73,3.91,3.7,7.25,4.64,1.87,6.08,3.19,2.83,5.35,,
September,,,,7.83,2.25,6.01,2.8,3.3,1.08,2.85,1.98,2.42,2.46,2.15,3.19,0.57,8.68,3.66,,
October,,,,3.98,0.88,5.84,5.48,3.1,2.02,5.12,1.21,12.19,6.89,3.84,5.12,4.18,3.35,2.04,,
November,,,,4.93,2.18,4.59,4.57,4.15,9.73,1.9,4.19,6.24,4.7,2.93,9.3,9.26,1.45,1.2,,
December,,,,0.9,3.43,2.2,6.47,3.44,5.33,3.27,1.68,6.13,1.3,5.37,4.61,3.83,8.68,8.96,,
Total,,,,44.12,35.86,43.79,42.01,30.81,43.64,33.49,36.82,53.87,31.99,34.6,55.21,39.64,37.98,44.05,,
,,,,,,,,,,,,,,,,,,,,
1898 Apr 6 Gauge moved to Sherborne,,,,,,,,,,,,,,,,,,,,
