FYFIELD-RECTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU294465,Long,-1.58038,Lat,51.21695,Elevation,255,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,3.71,4.15,,3.68,0.99,1.38,,4.3,2.91,3.05,3.75,1.62,3.17,2.73,4.45,2.7,4.18,1.61,3.6,2.12,1.73,,,,,,,,
February,,,2.31,0.78,4,4.38,4.83,1.14,,2.41,0.64,0.35,2.68,5.07,0.3,4.34,1.73,4.56,1.69,0.71,0.91,1.19,0.13,,,,,,,,
March,,,4.59,2.44,,1.21,3.19,3.17,,4.73,1.91,1.36,2.51,2.23,1.12,0.57,0.72,4.33,2.33,0.1,0.97,0.4,2.01,,,,,,,,
April,,,0.07,2.85,,0.83,0.9,1.64,,1.9,4.07,0.92,2.84,3.95,3,2.53,2.99,1.83,1.71,0.91,2.68,3.12,2.78,,,,,,,,
May,,,1.06,2.19,,3.75,1.49,2.24,,0.67,1.29,1.48,0.73,1.3,4.21,3.68,2.67,0.85,1.44,1.24,1.07,3.13,4.61,,,,,,,,
June,,,4.67,0.49,,1.35,2.04,3.09,,1.05,2.4,0.05,0.95,0.33,2.34,0.02,2.07,2.54,2.2,1.33,0.62,2.79,1.23,,,,,,,,
July,,,1.92,1.64,,4.24,1.23,3.15,,1.43,6.32,0.47,5.25,0.78,4.13,3.83,1.78,3.61,1.5,1.37,2.17,4.31,3.02,,,,,,,,
August,,,6.02,0.97,,2.49,3.78,6.15,,2.67,1.49,1.14,4.62,2.58,2.77,2.62,1.16,3.43,2.26,0.85,3.48,3.72,0.95,,,,,,,,
September,,,1.86,4.5,,2.03,1.45,1.97,,2,1.01,1.4,1.9,2.71,4.46,3.14,1.54,4.82,1.66,0.45,2.97,1.72,3.28,,,,,,,,
October,,,2.96,4.56,,3.8,4.66,4.68,,0.93,2.8,0.99,1.14,5.73,4.57,3.48,2.43,2.33,5.32,3.2,1.8,0.59,4.58,,,,,,,,
November,,,1.8,3.12,,2.47,4.44,0.52,,1.76,1.64,2.39,1.58,1.64,2.39,1.54,7.75,3.59,2.14,7.06,4.71,3.79,1.14,,,,,,,,
December,,,3.85,1.76,,6.23,4.32,1.43,,5.67,2.48,1.61,2.99,3.27,4.93,3.41,0.49,3.56,2.54,6.31,3.05,0.5,1.45,,,,,,,,
Total,,,34.82,29.45,,36.46,33.32,30.56,,29.52,28.96,15.21,30.94,31.21,37.39,31.89,29.78,38.15,28.97,25.14,28.03,27.38,26.91,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933 June 29 Inspection Badly oversheltered Gauge consists of funnel and bottle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
