STANSTED,,,,,,,,,,,,,,,,,,,,
Grid ref,TL526254,Long,0.21688012,Lat,51.906241,Elevation,240,ft,,,,,,,,,,,,
Station no,RR6694,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,2.45,1.1,4.84,1.27,1.08,0,1.32,2.3,1.69,2.74,,,,,
February,,,,,,1.2,2.5,2.31,1.34,3.35,2.53,2.28,1.5,3.73,1.39,,,,,
March,,,,,,1.1,3.05,2.49,1.36,0.79,0.73,1.75,1.52,1.73,0.98,,,,,
April,,,,,,0.64,2.96,2.67,2.25,2.73,2.39,0.89,2.81,2.28,1.16,,,,,
May,,,,,,2.58,0.57,2.7,4.61,2.01,0.35,1.28,1.59,1.38,0.24,,,,,
June,,,,,,4.28,1.85,2.53,3.01,3.99,2.5,1.86,3.49,2.58,2.07,,,,,
July,,,,,,5.68,0.81,3.54,0.5,3.35,4.63,1.71,2.35,2.8,1.6,,,,,
August,,,,,,1.03,2.07,3.15,4.76,3.29,2.07,5.01,1.62,1.38,0.97,,,,,
September,,,,,,2.98,3.95,1.56,1.11,3.27,3.79,2.71,3.17,3.21,1.04,,,,,
October,,,,,,2.75,1.22,1.62,2.39,0.86,4,2.93,5.69,2.26,,,,,,
November,,,,,,4.13,3.22,3.8,5.68,1.02,2.15,2.39,3.23,2.94,,,,,,
December,,,,,,2.09,4.99,1.82,1.55,0.71,2.94,3.67,2.58,0.76,,,,,,
Total,,,,,,30.91,28.29,33.03,29.83,26.45,28.08,27.8,31.85,26.74,,,,,,
