RATHMULLEN FORT ROYAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IC2987827546,Long,-7.532741,Lat,55.094505,Elevation,35,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,6257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,4.91,3.5,2.67,2.48,,,,,,,4.41,,,,,,,,3.03,4.25,5.19,4.81,,,,,,4.73,4.82,5.3,3.38,3.61,5.77,7.54,8.6,1.33,3.96,5.94,5.09,4.25,4.6,2.72,4.21,,,,
February,,,,,7.01,1.2,1.48,3.08,,,,,,,2.59,,,,,,,,2.81,2.7,6.59,3.82,,,,,,1.29,5.06,3.64,2,5.5,3.12,2.27,5.27,1.95,0.93,4.8,0.19,3.03,0.76,3.74,2.23,,,,
March,,,,,4.34,4.14,7.63,6.21,,,,,,,1.82,,,,,,,,5.25,4.75,4.71,1.75,,,,,,5.1,2.48,2.16,,4.16,2.4,3.07,3.21,0.66,2.79,1.33,2.95,2.99,3.63,1.42,2.48,,,,
April,,,,,2.39,1.62,2.76,2.9,,,,,,,,,,,,,,,2.5,4.23,2.44,,,,,,,2.47,3.55,2.86,,4.51,2.31,2.81,1.77,1.52,2.17,2.55,5,1.59,2.86,4.01,1.32,,,,
May,,,,,2.4,1.27,2.04,2.92,,,,,,,,,,,,,,,1.61,3.58,2.44,,,,,,,2.26,1.78,2.88,,3.82,4.2,1.38,1.15,1.97,1.44,2.8,2.12,1.83,2.71,1.52,1.53,,,,
June,,,,,2.2,2.03,3.4,5.69,,,,,,,,,,,,,,,5.79,4.24,1.62,,,,,,,0.85,2.7,2.65,2.52,0.69,3.38,3.42,5.12,2.92,,4.69,0.99,2.85,2.74,4.6,1.69,,,,
July,,,,,5.35,4.93,4.42,2.55,,,,,,,4.15,,,,,,,,3.89,2.36,3.56,,,,,,3.08,2.93,3.95,3.64,4.63,4.7,3.59,3.81,3.06,3.94,,3.93,5.44,3.5,2.76,1.39,5.49,,,,
August,,,,,3.65,4.44,3.82,4.07,,,,,,6.19,7.07,,,,,,,,4.8,2.39,3.14,,,,,,3.76,4.97,3.91,7.52,6.54,2.54,3.48,4.7,5.8,6.06,7.01,1.95,1.69,3.5,4.77,3.06,,,,,
September,,,,,0.44,2.41,4.67,2.93,,,,,,4.23,1.54,,,,,,,,2.44,2.66,3.94,,,,,,4.65,1.81,2.62,6.69,5.12,4.47,4.89,5.26,4.86,1.74,3.68,2.4,3.95,0.69,6.19,4.87,,,,,
October,,,,,2.42,6.9,5.63,2.69,,,,,,6.53,2.91,,,,,,,,4.15,2.98,1.72,,,,,,3.3,4.13,1.48,6.11,3.12,3.52,5.72,3.98,5.98,5.82,8.16,3.04,5.86,5.08,7.62,8.07,,,,,
November,,,,,5.26,5.31,1.87,2.18,,,,,,,,,,,,,,4.95,5.74,6.38,5.46,,,,,,4.37,3.95,2.7,6.41,2.99,2.98,5.48,4.22,5.41,4.96,5.05,4.39,4.68,2.07,1.71,4.41,,,,,
December,,,,,4.72,4.65,3.35,5.44,,,,,,2.8,,,,,,,,5.87,6.59,5.26,6.17,,,,,,3.85,6.07,4.28,5.49,5.08,5.47,2.28,1,4.2,7.23,4.88,3.68,4.86,1.68,3.07,3.93,,,,,
Total,,,,,45.09,42.4,43.74,43.14,,,,,,,,,,,,,,,48.6,45.78,46.98,,,,,,,40.56,39.33,55.35,,45.97,46.62,43.46,54.43,40.1,,41.5,42.82,33.06,43.42,43.74,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930 June/July estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
