"HOPESAY RECTORY",,,,,,,,,,,,
Grid ref,SO389832,Long,-2.900332,Lat,52.443333,,,,,,,
Station no,2270/8,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,1.66,1.14,1.31,,
February,,,,,,,2.33,1.76,1.62,0.95,,
March,,,,,,,1.49,1.24,3.95,3.51,,
April,,,,,,,1.01,2.17,3.00,2.53,,
May,,,,,,,1.96,2.73,2.28,0.98,,
June,,,,,,,2.02,3.20,1.36,3.02,,
July,,,,,,,0.69,2.98,3.24,2.23,,
August,,,,,,,1.69,2.76,4.14,1.65,,
September,,,,,,,0.70,0.67,2.35,2.75,,
October,,,,,,,5.04,7.14,1.89,4.47,,
November,,,,,,,3.34,2.93,1.95,0.63,,
December,,,,,,,2.71,3.49,3.11,4.48,,
Total,,,,,,,,32.73,30.03,28.51,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,22.98,32.73,30.03,28.51,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,,
