"SAWBRIDGEWORTH (PUMPING STATION)",,,,,,,,,,,,
Grid ref,TL464130,Long,0.121575,Lat,51.796493,,,,,,,
Station no,950,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.19,1.69,0.97,1.00,1.67,3.06,1.04,1.98,2.13,1.95,,
February,4.83,0.57,1.67,1.97,1.27,0.29,2.71,2.12,0.03,1.62,,
March,2.65,2.89,0.37,1.72,0.95,0.71,1.18,0.94,1.76,0.79,,
April,2.39,1.31,1.48,0.44,0.34,1.08,0.18,1.15,2.32,0.48,,
May,1.94,2.46,2.34,2.04,4.61,0.49,0.58,2.75,0.77,1.71,,
June,1.11,1.14,1.89,1.87,1.93,1.78,2.12,5.58,0.93,1.78,,
July,0.67,0.59,2.02,1.89,0.28,3.40,3.35,3.63,2.71,2.42,,
August,3.34,2.84,2.13,2.80,1.35,5.12,1.95,2.79,0.86,2.57,,
September,2.86,2.18,1.41,1.40,2.01,1.61,2.41,4.77,0.05,4.58,,
October,0.71,1.98,2.71,1.86,3.54,1.94,1.93,2.30,1.45,5.56,,
November,4.26,3.47,1.47,3.92,0.65,0.50,2.18,1.81,2.67,3.41,,
December,1.59,2.28,0.55,1.92,1.59,2.73,2.06,2.55,3.57,2.52,,
Total,28.54,23.40,19.01,22.83,20.19,22.71,21.69,32.37,19.25,29.39,,
Calc annual,28.54,23.40,19.01,22.83,20.19,22.71,21.69,32.37,19.25,29.39,,
Difference,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
