BRAMLEY-PARK-GARDENS,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ008445,Long,-0.55894582,Lat,51.190844,Elevation,145,ft.,,,,,,,,,,,,
Station no,187/8/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,6.67,3.15,5.95,3.11,3.26,3.16,7.15,2.3,2,,,,,
February,,,,,,,4.9,0.65,1.68,2.89,3.16,0.92,1.94,0.81,2.23,,,,,
March,,,,,,,4.46,0.31,1.47,3.82,3.55,2.02,0.58,0.19,1.14,,,,,
April,,,,,,,2.66,0.2,2.79,2.01,1.59,1.39,1.02,1.19,1.31,,,,,
May,,,,,,,3.89,1.42,2.97,1.27,2.51,3.95,3.18,0.65,2,,,,,
June,,,,,,,1.78,0.68,1.65,1.18,2.15,0.26,1.87,1.64,2.99,,,,,
July,,,,,,,1.67,2.49,3.56,3.3,2.43,2.2,2.36,1.64,5.38,,,,,
August,,,,,,,1.03,1.8,2.65,0.16,4.64,3.72,1.45,1.92,1.77,,,,,
September,,,,,,,1.78,1.8,0.61,1.64,0.33,1.95,1.64,3.15,2.56,,,,,
October,,,,,,,3.66,3.06,5.73,3.97,1.29,4.33,3.38,4.82,3.97,,,,,
November,,,,,,,2.4,5.5,5,8.35,3.17,2.3,1.68,4.77,0.31,,,,,
December,,,,,,,5.23,4.74,1.57,1.72,2.28,4.13,2.21,3.18,4.75,,,,,
Total,,,,,,,40.13,25.8,35.63,33.42,30.36,30.33,28.46,26.26,30.41,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is from the 1940s record and is in Bramley Park. Altitudes match,,,,,,,,,,,,,,,,,,,,
